method,method_label,direction,n_factuals,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_yield_at_k,proximity,sparsity,diversity,plausibility,constraint_validity,runtime_seconds_mean,access_stratum,candidate_budget,native_control,same_cohort_constraints_metrics,equal_compute_budget_claimed
countergan_one_shot,CounterGAN one-shot,disease_to_no_disease,100.0,0.137,0.84,0.0,0.137,0.1691312731820203,0.3486184597295709,0.0114325039487864,0.3885284349621607,1.0,0.0296874958599801,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
countergan_one_shot,CounterGAN one-shot,no_disease_to_disease,100.0,0.274,0.7,0.01,0.267,0.1389029222939695,0.3919148400100781,0.0456834649134959,0.3845659109312797,1.0,0.025646413599934,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,disease_to_no_disease,100.0,0.914,0.94,0.89,0.8860000000000001,0.1041166614741087,0.6359900934369022,0.0755402766703132,0.3487418376848787,1.0,0.2734716761800246,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,no_disease_to_disease,100.0,0.6609999999999999,0.76,0.61,0.6310000000000001,0.1055221618398239,0.6119639376218323,0.0564407729329296,0.3468368476236728,1.0,0.2384214444100416,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
dice_gradient_style,Custom DiCE-style gradient,disease_to_no_disease,100.0,0.3279999999999999,0.83,0.03,0.3279999999999999,0.0923857271042933,0.4938345976498587,0.0545703457242035,0.3606728486610427,1.0,0.1307630794900887,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
dice_gradient_style,Custom DiCE-style gradient,no_disease_to_disease,100.0,0.187,0.61,0.0,0.186,0.1084685683494708,0.4520730332205741,0.049245646437172,0.3793492888633633,1.0,0.1307602951100125,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
genetic_cfe,Budget-matched genetic CFE,disease_to_no_disease,100.0,0.534,0.73,0.3,0.49,0.0455168876286647,0.680658838878017,0.0312921441581151,0.3250063374538622,1.0,0.0589697049999995,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
genetic_cfe,Budget-matched genetic CFE,no_disease_to_disease,100.0,0.261,0.48,0.12,0.24,0.0592071531961361,0.6272045855379189,0.0261353799335968,0.3445900878924717,1.0,0.0532662419499956,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
proposed_countergan,CounterGAN + iterative black-box search,disease_to_no_disease,100.0,0.894,0.96,0.84,0.8869999999999999,0.1758399653093268,0.2960133744855967,0.0406295037246309,0.3817023682864136,1.0,0.0468649799600007,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
proposed_countergan,CounterGAN + iterative black-box search,no_disease_to_disease,100.0,0.627,0.77,0.51,0.6210000000000001,0.1442078148776834,0.3683833802881422,0.0477274726689248,0.3929801724022195,1.0,0.0490370691000225,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,disease_to_no_disease,100.0,0.908,0.93,0.9,0.8760000000000001,0.1012382337082457,0.6461569095977698,0.0749451633823174,0.3387150027546369,1.0,0.2746745874599673,custom counted-candidate implementation,1024.0,counted candidate evaluations,True,False
