method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
countergan_one_shot,disease_to_no_disease,128,100,0.00940863961006471,1.0,128.0,10606,12800,0.82859375,0.8219666908385022,0.8350236371856621
countergan_one_shot,disease_to_no_disease,256,100,0.012398579500004416,1.0,256.0,21190,25600,0.827734375,0.8230596376305709,0.8323107694619626
countergan_one_shot,disease_to_no_disease,512,100,0.018115440270030377,1.0,512.0,42377,51200,0.82767578125,0.8243799583960563,0.8309224377529689
countergan_one_shot,disease_to_no_disease,1024,100,0.029687495859980116,1.0,1024.0,84775,102400,0.827880859375,0.8255565234964262,0.8301805957697763
countergan_one_shot,no_disease_to_disease,128,100,0.008904556059997048,1.0,128.0,8157,12800,0.637265625,0.6288964967904684,0.6455523872652749
countergan_one_shot,no_disease_to_disease,256,100,0.011159973010016984,1.0,256.0,16366,25600,0.639296875,0.633393982563537,0.6451579687704289
countergan_one_shot,no_disease_to_disease,512,100,0.01622620619998088,1.0,512.0,32743,51200,0.63951171875,0.6353424522943593,0.6436600520683092
countergan_one_shot,no_disease_to_disease,1024,100,0.025646413599934022,1.0,1024.0,65329,102400,0.637978515625,0.6350298613657527,0.6409168179525547
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,100,0.0179625835099705,1.0,128.0,10544,12800,0.82375,0.8170522089393047,0.8302535255666715
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,100,0.04810128476006867,1.95,249.6,20612,25600,0.80515625,0.8002587185740994,0.8099622135125361
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,100,0.1208661803200539,2.36,302.08,40146,51200,0.7841015625,0.7805164305645205,0.7876440662098563
countergan_sparse_diverse_no_dp,disease_to_no_disease,1024,100,0.2734716761800246,2.94,376.32,78716,102400,0.7687109375,0.7661182858963237,0.7712834288833882
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,100,0.018829729320059413,1.0,128.0,7846,12800,0.61296875,0.6044981366880973,0.6213715766554455
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,100,0.045701747670045735,1.79,229.12,14930,25600,0.583203125,0.5771515919812299,0.5892296913450034
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,100,0.10687637254999573,2.76,353.28,28570,51200,0.5580078125,0.5537019155204538,0.5623050056551201
countergan_sparse_diverse_no_dp,no_disease_to_disease,1024,100,0.23842144441004165,4.43,567.04,54631,102400,0.533505859375,0.5304490995990198,0.5365601053511616
dice_gradient_style,disease_to_no_disease,128,100,0.020511078859999542,1.0,128.0,8,12800,0.000625,0.00031673589428767555,0.0012329130047952748
dice_gradient_style,disease_to_no_disease,256,100,0.03642130957994596,1.0,256.0,339,25600,0.0132421875,0.011913144959042575,0.01471729094321518
dice_gradient_style,disease_to_no_disease,512,100,0.06752446097994834,1.0,512.0,984,51200,0.01921875,0.01806509852385138,0.020444540648562944
dice_gradient_style,disease_to_no_disease,1024,100,0.13076307949008878,1.0,1024.0,1094,102400,0.01068359375,0.010072007195559814,0.011331891599604934
dice_gradient_style,no_disease_to_disease,128,100,0.020188862149980197,1.0,128.0,4,12800,0.0003125,0.00012153164613026092,0.0008033047679083109
dice_gradient_style,no_disease_to_disease,256,100,0.03641119444000651,1.0,256.0,160,25600,0.00625,0.0053559150195788335,0.0072922440209907844
dice_gradient_style,no_disease_to_disease,512,100,0.06763272855995638,1.0,512.0,387,51200,0.00755859375,0.006844441580567077,0.008346634648474295
