dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
heartplus,countergan,single_draw_loss_threshold,101,1000,1000,16,0.490548,-1,0.1814082413911819,0.512004,0.505,0.505,0.421,0.411,0.01,0.001,0.011,0.049
heartplus,countergan,multi_draw_reconstruction,101,1000,1000,16,0.489351,-1,0.1356589496135711,0.509251,0.4985,0.4985,0.491,0.494,-0.003,0.001,0.009,0.05
heartplus,countergan,multi_draw_mean_objective,101,1000,1000,16,0.4884419999999999,-1,0.158512681722641,0.5116825,0.507,0.507,0.504,0.49,0.014,0.001,0.01,0.046
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5088105,1,0.0561128614977626,0.5004645,0.49,0.49,0.268,0.288,-0.0199999999999999,0.005,0.018,0.052
heartplus,countergan,released_discriminator_score,101,1000,1000,0,0.486402,-1,-4.218837261199951,0.494328,0.4985,0.4985,0.646,0.649,-0.003,0.0,0.007,0.06
heartplus,dp_eps16,single_draw_loss_threshold,101,1000,1000,16,0.49854,-1,1.1420114040374756,0.495477,0.4975,0.4975,0.443,0.448,-0.005,0.003,0.015,0.052
heartplus,dp_eps16,multi_draw_reconstruction,101,1000,1000,16,0.492306,-1,0.1503597497940063,0.500019,0.4935,0.4935,0.754,0.767,-0.013,0.004,0.011,0.054
heartplus,dp_eps16,multi_draw_mean_objective,101,1000,1000,16,0.4935699999999999,-1,0.5759435892105103,0.499707,0.4905,0.4905,0.673,0.692,-0.0189999999999999,0.005,0.012,0.057
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.524741,1,0.0108319323448856,0.477987,0.486,0.486,0.44,0.468,-0.028,0.0,0.006,0.04
heartplus,dp_eps16,released_discriminator_score,101,1000,1000,0,0.497588,-1,-9.109538078308104,0.508196,0.4955,0.4955,0.938,0.947,-0.009,0.003,0.009,0.044
heartplus,dp_eps8,single_draw_loss_threshold,101,1000,1000,16,0.497716,-1,0.4109504818916321,0.49196,0.4885,0.4885,0.696,0.719,-0.023,0.0,0.012,0.061
heartplus,dp_eps8,multi_draw_reconstruction,101,1000,1000,16,0.488321,-1,0.2092608511447906,0.496645,0.491,0.491,0.656,0.674,-0.018,0.002,0.011,0.053
heartplus,dp_eps8,multi_draw_mean_objective,101,1000,1000,16,0.491678,-1,0.8087974786758423,0.498374,0.501,0.501,0.555,0.553,0.002,0.001,0.008,0.062
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5196459999999999,1,-0.0106316771058183,0.4990504999999999,0.4845,0.4845,0.59,0.621,-0.031,0.007,0.021,0.073
heartplus,dp_eps8,released_discriminator_score,101,1000,1000,0,0.497853,-1,1.2542058229446411,0.5101439999999999,0.502,0.502,0.162,0.158,0.004,0.001,0.008,0.04
heartplus,dp_eps4,single_draw_loss_threshold,101,1000,1000,16,0.492908,-1,0.6241427063941956,0.497537,0.4955,0.4955,0.636,0.645,-0.009,0.002,0.017,0.064
heartplus,dp_eps4,multi_draw_reconstruction,101,1000,1000,16,0.490738,-1,0.6167094707489014,0.4978009999999999,0.4955,0.4955,0.523,0.532,-0.009,0.006,0.016,0.053
heartplus,dp_eps4,multi_draw_mean_objective,101,1000,1000,16,0.493807,-1,0.6710894107818604,0.50214,0.4925,0.4925,0.597,0.612,-0.015,0.006,0.009,0.06
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5259090000000001,1,0.0117614251635518,0.486464,0.484,0.484,0.412,0.444,-0.032,0.001,0.014,0.06
heartplus,dp_eps4,released_discriminator_score,101,1000,1000,0,0.4986609999999999,-1,-6.644094944000244,0.506148,0.5015,0.5015,0.842,0.839,0.003,0.002,0.013,0.053
heartplus,dp_eps2,single_draw_loss_threshold,101,1000,1000,16,0.480236,-1,0.4969734847545624,0.494828,0.4905,0.4905,0.58,0.599,-0.019,0.001,0.009,0.052
heartplus,dp_eps2,multi_draw_reconstruction,101,1000,1000,16,0.492004,-1,0.1525769233703613,0.493793,0.494,0.494,0.602,0.614,-0.012,0.001,0.007,0.048
heartplus,dp_eps2,multi_draw_mean_objective,101,1000,1000,16,0.486857,-1,0.4063661396503448,0.496639,0.4995,0.4995,0.656,0.657,-0.001,0.001,0.008,0.053
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.513225,1,0.0139343817782321,0.4973155,0.499,0.499,0.444,0.446,-0.002,0.004,0.016,0.048
heartplus,dp_eps2,released_discriminator_score,101,1000,1000,0,0.495792,-1,-7.525521278381348,0.499978,0.4985,0.4985,0.854,0.857,-0.003,0.0,0.014,0.055
heartplus,countergan,single_draw_loss_threshold,202,1000,1000,16,0.514925,1,-0.4418573975563049,0.502829,0.5025,0.5025,0.755,0.75,0.005,0.0,0.014,0.05
heartplus,countergan,multi_draw_reconstruction,202,1000,1000,16,0.52249,1,-0.1713476628065109,0.5021399999999999,0.4975,0.4975,0.636,0.641,-0.005,0.001,0.018,0.053
heartplus,countergan,multi_draw_mean_objective,202,1000,1000,16,0.521628,1,-0.1543085873126983,0.504996,0.5115,0.5115000000000001,0.485,0.462,0.0229999999999999,0.0,0.014,0.049
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.515996,1,0.0938667703317794,0.487286,0.5005,0.5005,0.748,0.747,0.001,0.003,0.009,0.047
heartplus,countergan,released_discriminator_score,202,1000,1000,0,0.4657925,-1,-2.9348762035369877,0.513766,0.518,0.518,0.442,0.406,0.0359999999999999,0.002,0.016,0.033
heartplus,dp_eps16,single_draw_loss_threshold,202,1000,1000,16,0.515713,1,-1.8813600540161133,0.503708,0.4925,0.4925,0.723,0.738,-0.015,0.003,0.01,0.063
heartplus,dp_eps16,multi_draw_reconstruction,202,1000,1000,16,0.5244800000000001,1,-1.2019789218902588,0.501916,0.4905,0.4905,0.648,0.667,-0.019,0.002,0.011,0.058
heartplus,dp_eps16,multi_draw_mean_objective,202,1000,1000,16,0.518849,1,-1.6951361894607544,0.5063975000000001,0.4895,0.4895,0.676,0.697,-0.0209999999999999,0.005,0.013,0.066
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.5244815,1,-0.0160757359860773,0.501916,0.4905,0.4905,0.648,0.667,-0.019,0.002,0.011,0.058
heartplus,dp_eps16,released_discriminator_score,202,1000,1000,0,0.4585575,-1,-2.7337021827697754,0.508473,0.5095,0.5095000000000001,0.501,0.482,0.019,0.004,0.013,0.051
heartplus,dp_eps8,single_draw_loss_threshold,202,1000,1000,16,0.525437,1,-0.2810800969600677,0.511072,0.504,0.504,0.256,0.248,0.008,0.0,0.009,0.069
heartplus,dp_eps8,multi_draw_reconstruction,202,1000,1000,16,0.526547,1,-0.4222441017627716,0.507316,0.513,0.513,0.461,0.435,0.026,0.0,0.013,0.053
heartplus,dp_eps8,multi_draw_mean_objective,202,1000,1000,16,0.527102,1,-0.9842187166213988,0.5109440000000001,0.5195,0.5195000000000001,0.551,0.512,0.039,0.0,0.016,0.052
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.5265475,1,0.0675364503929448,0.5073165,0.513,0.513,0.461,0.435,0.026,0.0,0.013,0.053
heartplus,dp_eps8,released_discriminator_score,202,1000,1000,0,0.4648035,-1,-0.6589094400405884,0.510759,0.504,0.504,0.293,0.285,0.008,0.003,0.013,0.059
heartplus,dp_eps4,single_draw_loss_threshold,202,1000,1000,16,0.524559,1,-1.0447825193405151,0.506037,0.5055,0.5055000000000001,0.541,0.53,0.011,0.004,0.016,0.062
heartplus,dp_eps4,multi_draw_reconstruction,202,1000,1000,16,0.5315380000000001,1,-1.0341256856918335,0.5055850000000001,0.492,0.492,0.626,0.642,-0.016,0.004,0.012,0.058
heartplus,dp_eps4,multi_draw_mean_objective,202,1000,1000,16,0.5195749999999999,1,-0.4926399886608124,0.505163,0.5175,0.5175000000000001,0.353,0.318,0.0349999999999999,0.004,0.018,0.06
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.5344720000000001,1,-0.0349404408874756,0.507005,0.492,0.492,0.626,0.642,-0.016,0.004,0.012,0.058
heartplus,dp_eps4,released_discriminator_score,202,1000,1000,0,0.4608895,-1,-0.8193169236183167,0.510621,0.509,0.509,0.31,0.292,0.018,0.003,0.015,0.047
heartplus,dp_eps2,single_draw_loss_threshold,202,1000,1000,16,0.527814,1,-0.2936745285987854,0.505845,0.5055,0.5055,0.317,0.306,0.011,0.003,0.016,0.065
heartplus,dp_eps2,multi_draw_reconstruction,202,1000,1000,16,0.527083,1,-0.4093727469444275,0.5027189999999999,0.5005,0.5005000000000001,0.555,0.554,0.001,0.001,0.014,0.064
heartplus,dp_eps2,multi_draw_mean_objective,202,1000,1000,16,0.522054,1,-0.5117910504341125,0.5065489999999999,0.512,0.512,0.418,0.394,0.0239999999999999,0.001,0.018,0.06
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,202,1000,1000,16,0.527082,1,0.0614482357321044,0.5027205,0.5005,0.5005000000000001,0.555,0.554,0.001,0.001,0.014,0.064
heartplus,dp_eps2,released_discriminator_score,202,1000,1000,0,0.4668974999999999,-1,-0.8534265756607056,0.508196,0.5055,0.5055,0.297,0.286,0.011,0.002,0.011,0.056
heartplus,countergan,single_draw_loss_threshold,303,1000,1000,16,0.502202,1,-0.6131203174591064,0.4982479999999999,0.5065,0.5065,0.818,0.805,0.0129999999999999,0.004,0.022,0.06
heartplus,countergan,multi_draw_reconstruction,303,1000,1000,16,0.498662,-1,0.1356148272752761,0.497967,0.499,0.499,0.511,0.513,-0.002,0.002,0.008,0.051
heartplus,countergan,multi_draw_mean_objective,303,1000,1000,16,0.499413,-1,0.1657755076885223,0.498539,0.497,0.497,0.484,0.49,-0.006,0.003,0.009,0.048
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.5077415,1,0.0214271615122332,0.5054000000000001,0.504,0.504,0.275,0.267,0.008,0.0,0.011,0.043
heartplus,countergan,released_discriminator_score,303,1000,1000,0,0.5218160000000001,1,1.4877876043319702,0.4689455,0.4845,0.4845,0.78,0.811,-0.031,0.005,0.005,0.04
heartplus,dp_eps16,single_draw_loss_threshold,303,1000,1000,16,0.481841,-1,0.9828376173973083,0.476137,0.48,0.48,0.489,0.529,-0.04,0.006,0.011,0.055
heartplus,dp_eps16,multi_draw_reconstruction,303,1000,1000,16,0.480664,-1,0.7016938328742981,0.47641,0.4745,0.4745,0.485,0.536,-0.051,0.005,0.023,0.061
heartplus,dp_eps16,multi_draw_mean_objective,303,1000,1000,16,0.4789799999999999,-1,1.1143890619277954,0.477744,0.4745,0.4745,0.418,0.469,-0.0509999999999999,0.005,0.012,0.062
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.5193319999999999,1,-0.0559618015095663,0.4764085,0.4745,0.4745,0.485,0.536,-0.051,0.005,0.023,0.061
heartplus,dp_eps16,released_discriminator_score,303,1000,1000,0,0.500189,1,-2.100024700164795,0.4754814999999999,0.491,0.491,0.866,0.884,-0.018,0.003,0.026,0.073
heartplus,dp_eps8,single_draw_loss_threshold,303,1000,1000,16,0.489062,-1,0.8680269122123718,0.483162,0.481,0.481,0.497,0.535,-0.038,0.001,0.006,0.065
heartplus,dp_eps8,multi_draw_reconstruction,303,1000,1000,16,0.487456,-1,0.3744648098945617,0.477456,0.4865,0.4865,0.568,0.595,-0.027,0.002,0.02,0.061
heartplus,dp_eps8,multi_draw_mean_objective,303,1000,1000,16,0.485365,-1,0.9799417853355408,0.480927,0.4765,0.4765,0.432,0.479,-0.0469999999999999,0.006,0.014,0.064
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.515501,1,-0.011218252803415,0.471051,0.4865,0.4864999999999999,0.566,0.593,-0.027,0.004,0.01,0.048
heartplus,dp_eps8,released_discriminator_score,303,1000,1000,0,0.504532,1,-2.093071699142456,0.4765414999999999,0.486,0.486,0.876,0.904,-0.028,0.006,0.021,0.069
heartplus,dp_eps4,single_draw_loss_threshold,303,1000,1000,16,0.475442,-1,0.8672327399253845,0.477093,0.478,0.478,0.501,0.545,-0.044,0.005,0.012,0.045
heartplus,dp_eps4,multi_draw_reconstruction,303,1000,1000,16,0.4779969999999999,-1,0.7584637403488159,0.4768969999999999,0.475,0.475,0.443,0.493,-0.0499999999999999,0.002,0.019,0.068
heartplus,dp_eps4,multi_draw_mean_objective,303,1000,1000,16,0.479418,-1,1.040788173675537,0.478025,0.4735,0.4735,0.443,0.496,-0.0529999999999999,0.002,0.017,0.06
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.5220025,1,-0.0375785482185964,0.4768975,0.475,0.475,0.443,0.493,-0.0499999999999999,0.002,0.019,0.068
heartplus,dp_eps4,released_discriminator_score,303,1000,1000,0,0.502778,1,-1.562984585762024,0.4760295,0.486,0.486,0.869,0.897,-0.028,0.01,0.017,0.06
heartplus,dp_eps2,single_draw_loss_threshold,303,1000,1000,16,0.48388,-1,0.8521025776863098,0.480696,0.4765,0.4765,0.403,0.45,-0.0469999999999999,0.001,0.016,0.068
heartplus,dp_eps2,multi_draw_reconstruction,303,1000,1000,16,0.483383,-1,0.3687009811401367,0.482174,0.4865,0.4865,0.469,0.496,-0.027,0.002,0.023,0.052
heartplus,dp_eps2,multi_draw_mean_objective,303,1000,1000,16,0.478999,-1,1.0538100004196167,0.48029,0.472,0.472,0.31,0.366,-0.0559999999999999,0.006,0.018,0.062
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,303,1000,1000,16,0.51811,1,-0.0025560297163033,0.4782645,0.4875,0.4875,0.467,0.492,-0.0249999999999999,0.0,0.01,0.05
heartplus,dp_eps2,released_discriminator_score,303,1000,1000,0,0.504638,1,-0.8499075770378113,0.4729894999999999,0.483,0.483,0.826,0.86,-0.034,0.005,0.017,0.058
heartplus,countergan,single_draw_loss_threshold,404,1000,1000,16,0.514371,1,-0.1706568598747253,0.506288,0.5,0.5,0.546,0.546,0.0,0.002,0.013,0.047
heartplus,countergan,multi_draw_reconstruction,404,1000,1000,16,0.515956,1,-0.2249996960163116,0.513081,0.505,0.505,0.722,0.712,0.01,0.0,0.014,0.055
heartplus,countergan,multi_draw_mean_objective,404,1000,1000,16,0.511392,1,-0.2313903868198394,0.505438,0.5035,0.5035000000000001,0.682,0.675,0.007,0.003,0.011,0.049
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5159555,1,0.0468527519401689,0.513081,0.505,0.505,0.722,0.712,0.01,0.0,0.014,0.055
heartplus,countergan,released_discriminator_score,404,1000,1000,0,0.5083225,1,5.825307846069336,0.479595,0.489,0.489,0.089,0.111,-0.022,0.004,0.012,0.046
heartplus,dp_eps16,single_draw_loss_threshold,404,1000,1000,16,0.496304,-1,0.37136310338974,0.494839,0.4955,0.4955,0.727,0.736,-0.009,0.001,0.012,0.062
heartplus,dp_eps16,multi_draw_reconstruction,404,1000,1000,16,0.49742,-1,0.1431276202201843,0.4919049999999999,0.496,0.496,0.748,0.756,-0.008,0.001,0.013,0.06
heartplus,dp_eps16,multi_draw_mean_objective,404,1000,1000,16,0.498261,-1,0.4186576306819916,0.493408,0.492,0.492,0.719,0.735,-0.016,0.002,0.016,0.063
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5118875,1,0.0162694767875459,0.507626,0.5135,0.5135000000000001,0.532,0.505,0.027,0.002,0.007,0.048
heartplus,dp_eps16,released_discriminator_score,404,1000,1000,0,0.5151574999999999,1,1.6893876791000366,0.492985,0.5035,0.5035000000000001,0.614,0.607,0.007,0.003,0.014,0.043
heartplus,dp_eps8,single_draw_loss_threshold,404,1000,1000,16,0.485551,-1,0.2938217520713806,0.493777,0.4935,0.4935,0.74,0.753,-0.013,0.0,0.015,0.061
heartplus,dp_eps8,multi_draw_reconstruction,404,1000,1000,16,0.492335,-1,0.1202563196420669,0.4982999999999999,0.498,0.498,0.75,0.754,-0.004,0.005,0.017,0.063
heartplus,dp_eps8,multi_draw_mean_objective,404,1000,1000,16,0.490065,-1,0.3793684840202331,0.490411,0.4945,0.4945,0.735,0.746,-0.011,0.001,0.014,0.067
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.51392,1,5.6860969288807794e-05,0.48438,0.4935,0.4935,0.589,0.602,-0.013,0.004,0.017,0.052
heartplus,dp_eps8,released_discriminator_score,404,1000,1000,0,0.5088645,1,0.0079462677240371,0.496616,0.5025,0.5025,0.77,0.765,0.005,0.001,0.014,0.04
heartplus,dp_eps4,single_draw_loss_threshold,404,1000,1000,16,0.491536,-1,0.4352898597717285,0.495895,0.4935,0.4935,0.669,0.682,-0.013,0.001,0.005,0.06
heartplus,dp_eps4,multi_draw_reconstruction,404,1000,1000,16,0.497198,-1,0.1071090400218963,0.499586,0.5085,0.5085,0.782,0.765,0.017,0.003,0.015,0.06
heartplus,dp_eps4,multi_draw_mean_objective,404,1000,1000,16,0.4959599999999999,-1,0.2726738452911377,0.49583,0.5005,0.5005,0.757,0.756,0.001,0.004,0.01,0.059
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5191574999999999,1,0.0314007181851391,0.5011125000000001,0.4895,0.4895,0.445,0.466,-0.021,0.0,0.008,0.045
