dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.5004508000000001,0.0102535998507841,0.4943172225,0.5063143525,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.4974999999999999,0.0075092535507125,0.4932,0.50205,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.4974999999999999,0.0075092535507125,0.49325,0.5018999999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.0049999999999999,0.015018507101425,-0.0135999999999999,0.0038999999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5724,0.197587224058417,0.454195,0.6817074999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.5774,0.1943708940259432,0.458395,0.6874099999999999,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0016,0.0017126976771553,0.0006,0.0026,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0123,0.0051434964329292,0.0092975,0.0151,10
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0491,0.0102896927931682,0.0429,0.0552,10
heartplus,countergan,multi_draw_mean_objective,evaluation_auc,0.5028679500000001,0.011254289292063,0.4960380825,0.50921313125,10
heartplus,countergan,multi_draw_mean_objective,evaluation_accuracy,0.5035499999999999,0.006718341395844,0.4995999999999999,0.50745,10
heartplus,countergan,multi_draw_mean_objective,evaluation_balanced_accuracy,0.5035499999999999,0.006718341395844,0.49965,0.5075999999999999,10
heartplus,countergan,multi_draw_mean_objective,evaluation_membership_advantage,0.0070999999999999,0.0134366827916879,-0.0007,0.0151999999999999,10
heartplus,countergan,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.5797,0.2056042855152154,0.4537975,0.6960025,10
heartplus,countergan,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.5725999999999999,0.1993953080914616,0.4546825,0.6845025,10
heartplus,countergan,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0016,0.0016465452046971,0.0007,0.0026,10
heartplus,countergan,multi_draw_mean_objective,tpr_at_fpr_0.01,0.011,0.0045704364002673,0.0082999999999999,0.0135,10
heartplus,countergan,multi_draw_mean_objective,tpr_at_fpr_0.05,0.0470999999999999,0.007233410137841,0.0426,0.0513,10
heartplus,countergan,multi_draw_reconstruction,evaluation_auc,0.5045398000000001,0.0109483046764733,0.4979542425000001,0.5110688724999999,10
heartplus,countergan,multi_draw_reconstruction,evaluation_accuracy,0.4991,0.0051736511929841,0.4962987499999999,0.5023500000000001,10
heartplus,countergan,multi_draw_reconstruction,evaluation_balanced_accuracy,0.4991,0.0051736511929841,0.4961499999999999,0.50225,10
heartplus,countergan,multi_draw_reconstruction,evaluation_membership_advantage,-0.0017999999999999,0.0103473023859683,-0.0074999999999999,0.0046,10
heartplus,countergan,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.5820000000000001,0.2115781967342886,0.4591974999999999,0.7105999999999999,10
heartplus,countergan,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.5838,0.2082710840333925,0.4640975,0.7053024999999999,10
heartplus,countergan,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0018,0.0015491933384829,0.0009,0.0028,10
heartplus,countergan,multi_draw_reconstruction,tpr_at_fpr_0.01,0.0119,0.0056460408940936,0.0087999999999999,0.0152,10
heartplus,countergan,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0488,0.0100088849417793,0.0427999999999999,0.0543999999999999,10
heartplus,countergan,released_discriminator_score,evaluation_auc,0.49466555,0.0142794491732582,0.4861796712500001,0.5027935299999999,10
heartplus,countergan,released_discriminator_score,evaluation_accuracy,0.49935,0.0105910077161922,0.4933999999999999,0.5057512500000001,10
heartplus,countergan,released_discriminator_score,evaluation_balanced_accuracy,0.49935,0.0105910077161922,0.49345,0.506,10
heartplus,countergan,released_discriminator_score,evaluation_membership_advantage,-0.0012999999999999,0.0211820154323845,-0.0133025,0.0114024999999999,10
heartplus,countergan,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.4657,0.2300343211107614,0.3284975,0.5953,10
heartplus,countergan,released_discriminator_score,evaluation_fpr_at_calibrated_threshold,0.4669999999999999,0.2386229010151559,0.3258974999999999,0.6067049999999999,10
heartplus,countergan,released_discriminator_score,tpr_at_fpr_0.001,0.002,0.0015634719199411,0.0011,0.003,10
heartplus,countergan,released_discriminator_score,tpr_at_fpr_0.01,0.0093,0.0034334951418181,0.0074,0.0113,10
heartplus,countergan,released_discriminator_score,tpr_at_fpr_0.05,0.0522,0.0127871463239892,0.0445974999999999,0.0596999999999999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_auc,0.5035889499999999,0.0112030952628925,0.4968778275,0.5100599062499999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_accuracy,0.5030999999999999,0.0068831517328748,0.4992,0.5070999999999999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_balanced_accuracy,0.5030999999999999,0.0068831517328748,0.4991,0.507,10
heartplus,countergan,single_draw_loss_threshold,evaluation_membership_advantage,0.0061999999999999,0.0137663034657496,-0.0017,0.0139999999999999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_tpr_at_calibrated_threshold,0.5922000000000001,0.2011537830726641,0.4705974999999999,0.7074999999999999,10
heartplus,countergan,single_draw_loss_threshold,evaluation_fpr_at_calibrated_threshold,0.5860000000000001,0.1919982638810396,0.4697925,0.6960999999999999,10
heartplus,countergan,single_draw_loss_threshold,tpr_at_fpr_0.001,0.0019,0.0018529256146249,0.0009,0.003,10
heartplus,countergan,single_draw_loss_threshold,tpr_at_fpr_0.01,0.0116,0.0051897334549409,0.0086,0.0146,10
heartplus,countergan,single_draw_loss_threshold,tpr_at_fpr_0.05,0.0473,0.0090559986258342,0.0417999999999999,0.0523,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.49697445,0.0129259153543268,0.489273635,0.5044302599999999,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.494,0.0133936137352429,0.4862,0.5020999999999999,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.494,0.0133936137352429,0.4861000000000001,0.5018,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.012,0.0267872274704859,-0.0275,0.0033,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5062,0.169484709241473,0.405395,0.6057025,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.5182,0.1669822345840019,0.4206950000000001,0.6156024999999999,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0026,0.0022705848487901,0.0013,0.0039999999999999,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0126,0.0068507907086214,0.0089,0.0169,10
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0508,0.0116122540638949,0.0447999999999999,0.0582,10
heartplus,dp_eps16,multi_draw_mean_objective,evaluation_auc,0.49755265,0.0127970902205887,0.4902505012499999,0.50508224375,10
heartplus,dp_eps16,multi_draw_mean_objective,evaluation_accuracy,0.4967999999999999,0.0106723942955646,0.4902499999999999,0.5026999999999999,10
heartplus,dp_eps16,multi_draw_mean_objective,evaluation_balanced_accuracy,0.4967999999999999,0.0106723942955645,0.49045,0.5026012499999999,10
heartplus,dp_eps16,multi_draw_mean_objective,evaluation_membership_advantage,-0.0063999999999999,0.0213447885911291,-0.0196999999999999,0.0055999999999999,10
heartplus,dp_eps16,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.575,0.2252642892249013,0.4363,0.7031174999999998,10
heartplus,dp_eps16,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.5814000000000001,0.221346987530639,0.44859,0.704905,10
heartplus,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0027,0.0020027758514399,0.0015,0.0038,10
heartplus,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.01,0.0119,0.0071717036562683,0.0079,0.0165,10
heartplus,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.05,0.0545,0.0119837853414983,0.0474,0.0614,10
heartplus,dp_eps16,multi_draw_reconstruction,evaluation_auc,0.497061,0.0118624154463676,0.4901855075,0.5040775999999999,10
heartplus,dp_eps16,multi_draw_reconstruction,evaluation_accuracy,0.4916999999999999,0.0100033327779628,0.4856,0.49755125,10
heartplus,dp_eps16,multi_draw_reconstruction,evaluation_balanced_accuracy,0.4916999999999999,0.0100033327779628,0.4856499999999999,0.49745,10
heartplus,dp_eps16,multi_draw_reconstruction,evaluation_membership_advantage,-0.0166,0.0200066655559257,-0.0287025,-0.0054,10
heartplus,dp_eps16,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.5238000000000002,0.2254569680547586,0.3920925,0.6604099999999997,10
heartplus,dp_eps16,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.5404000000000001,0.2245356690298151,0.4060975,0.6722074999999998,10
heartplus,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0033,0.0051001089312985,0.001,0.0067,10
heartplus,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.01,0.0137,0.0081792420186714,0.0094,0.0187,10
heartplus,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0513,0.0091657575306742,0.046,0.0566,10
heartplus,dp_eps16,released_discriminator_score,evaluation_auc,0.4990077499999999,0.0132464303309944,0.49081582625,0.50642797625,10
heartplus,dp_eps16,released_discriminator_score,evaluation_accuracy,0.5008,0.0085251262616912,0.4959499999999999,0.50575,10
heartplus,dp_eps16,released_discriminator_score,evaluation_balanced_accuracy,0.5008000000000001,0.0085251262616912,0.49555,0.50565,10
heartplus,dp_eps16,released_discriminator_score,evaluation_membership_advantage,0.0015999999999999,0.0170502525233825,-0.0084,0.0116024999999999,10
heartplus,dp_eps16,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.5883,0.2540420131483067,0.43939,0.7408024999999999,10
