method,method_label,candidate_budget,changed_set_dice,local_surrogate_fidelity,plausibility,sparsity,proximity,robust_completeness_at_k,group_sparsity,full_k_success,fidelity,valid_cfe_yield_at_k,plausibility_inlier_rate,diversity,mean_target_logit_margin,coverage_at_1,constraint_validity,plausibility_distance,target_data_support,robust_full_k_success
countergan_one_shot,CounterGAN one-shot,128,0.9963842414972186,0.9441191273451348,0.3874082978364757,0.3656999881612618,0.15540666069527656,0.155,0.3656999881612618,0.0,0.9441191273451348,0.1565,0.29744385706089665,0.024412330913577043,0.8985281567456338,0.7649999999999999,1.0,0.3874082978364757,0.5475630276206869,0.0
countergan_one_shot,CounterGAN one-shot,256,0.9962478440515421,0.9494353313214967,0.3862934451054514,0.3681338961287326,0.15450643826205535,0.1645,0.3681338961287326,0.0,0.9494353313214967,0.16599999999999998,0.3081081468732071,0.02451991578564048,0.9013888453599868,0.7649999999999999,1.0,0.3862934451054514,0.555259568887796,0.0
countergan_one_shot,CounterGAN one-shot,512,0.9957178698013782,0.9437018760294622,0.38590734471270266,0.3715621063240111,0.15435361432443773,0.183,0.3715621063240111,0.005,0.9437018760294622,0.185,0.30675831443688584,0.025755564511443178,0.874768267678363,0.77,1.0,0.38590734471270266,0.5502588813303099,0.005
countergan_one_shot,CounterGAN one-shot,1024,0.9960528292805079,0.94319990567117,0.3865471729467202,0.3702666498698245,0.15401709773799493,0.202,0.3702666498698245,0.005,0.94319990567117,0.20550000000000002,0.30392479213907786,0.02855798443114119,0.8586861123641332,0.77,1.0,0.3865471729467202,0.5531360544217687,0.0
proposed_countergan,CounterGAN + iterative black-box search,128,0.9963842414972186,0.9441191273451348,0.3874082978364757,0.3656999881612618,0.15540666069527656,0.155,0.3656999881612618,0.0,0.9441191273451348,0.1565,0.29744385706089665,0.024412330913577043,0.8985281567456338,0.7649999999999999,1.0,0.3874082978364757,0.5475630276206869,0.0
proposed_countergan,CounterGAN + iterative black-box search,256,0.9965875798507038,0.9241921639504899,0.38423008268803116,0.341466494202936,0.15707317669847493,0.43400000000000005,0.341466494202936,0.055,0.9241921639504899,0.4385,0.36645423304649494,0.039772676862889995,0.7709884227848225,0.815,1.0,0.38423008268803116,0.5547141185534042,0.045
proposed_countergan,CounterGAN + iterative black-box search,512,0.9955153300346651,0.9241902030603424,0.38297212809128334,0.3370927221547789,0.15721484057630974,0.6839999999999999,0.3370927221547789,0.505,0.9241902030603424,0.6915,0.40553792774537456,0.04347784825412705,0.7723475954816166,0.84,1.0,0.38297212809128334,0.5533172458172457,0.485
proposed_countergan,CounterGAN + iterative black-box search,1024,0.9956207327423664,0.9251181487515736,0.38734127034431654,0.33219837738686947,0.16002389009350515,0.754,0.33219837738686947,0.675,0.9251181487515736,0.7605,0.37758596809936096,0.0441784881967779,0.7550822803382742,0.865,1.0,0.38734127034431654,0.5600564477685014,0.665
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.9959749438321861,0.935523140384813,0.327823301485426,0.4885401487968538,0.11702401445472035,0.3105,0.4885401487968538,0.125,0.935523140384813,0.316,0.732196223316913,0.047815969686998035,0.5359013331775693,0.56,1.0,0.327823301485426,0.5179110563765735,0.11
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,0.994189017368644,0.914400917930243,0.34376327670293183,0.5602076146222972,0.10659968931744188,0.5325,0.5602076146222972,0.45499999999999996,0.914400917930243,0.54,0.647827998720856,0.06109664520483023,0.4523371411544317,0.635,1.0,0.34376327670293183,0.5342681623931624,0.415
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,0.9900423220462667,0.9082056429970234,0.3324889390347655,0.6309435402994332,0.09626785078799326,0.6255,0.6309435402994332,0.595,0.9082056429970234,0.6485,0.6436078732568296,0.061644998660628024,0.38530408941883215,0.72,1.0,0.3324889390347655,0.5306126572492796,0.455
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,1024,0.990687424602541,0.9135867566613057,0.33737409655140016,0.6421905903938636,0.09713961450403095,0.703,0.6421905903938636,0.685,0.9135867566613057,0.7295,0.5832063605011897,0.061495366809282345,0.37062049670831776,0.805,1.0,0.33737409655140016,0.5369688789494292,0.505
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,0.9943624086221453,0.9326202216264804,0.32093255463713277,0.5411072287776377,0.10736930749979814,0.42800000000000005,0.5411072287776377,0.25,0.9326202216264804,0.433,0.7424752739909115,0.05526209517913096,0.5064110335154797,0.65,1.0,0.32093255463713277,0.5200973235235464,0.24
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,0.9931796694046315,0.9301398578777601,0.3182403129641281,0.5976785181087536,0.10036843464521994,0.5905,0.5976785181087536,0.51,0.9301398578777601,0.6040000000000001,0.6804118187616569,0.05820516215194278,0.4371336802188963,0.74,1.0,0.3182403129641281,0.5269075429321097,0.44499999999999995
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,0.9899704381309236,0.9182922883188135,0.3312957299021152,0.6417168633835301,0.0955820308732135,0.6859999999999999,0.6417168633835301,0.635,0.9182922883188135,0.712,0.6450549450549451,0.06103523520773256,0.37652048382621545,0.78,1.0,0.3312957299021152,0.5242423687423687,0.48
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,1024,0.9899829055611731,0.9224609070720589,0.3375867161378512,0.6456864436081762,0.09549917977156067,0.7274999999999999,0.6456864436081762,0.7050000000000001,0.9224609070720589,0.755,0.6200388985381386,0.06023975823072456,0.36069193393173193,0.82,1.0,0.3375867161378512,0.5306796931538573,0.535
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,0.9954318270310074,0.9344709370181279,0.32162418651930247,0.542996521126011,0.10490266313584355,0.35600000000000004,0.542996521126011,0.185,0.9344709370181279,0.3625,0.722395049375114,0.051103337403606286,0.5298527729585125,0.595,1.0,0.32162418651930247,0.5146877993295019,0.16999999999999998
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,0.993118404650227,0.9102601412979398,0.32835154942557054,0.5944953316084269,0.09870425941381644,0.536,0.5944953316084269,0.455,0.9102601412979398,0.5505,0.7109401709401709,0.059753386242120725,0.44211098851922614,0.655,1.0,0.32835154942557054,0.5274931972789116,0.385
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,0.9900545911311749,0.9140779163856088,0.32874914182103904,0.6442531881698549,0.09199173355372725,0.617,0.6442531881698549,0.59,0.9140779163856088,0.6400000000000001,0.6721572039072039,0.06083253702640042,0.3839849447360733,0.7050000000000001,1.0,0.32874914182103904,0.5195712454212456,0.435
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,1024,0.9901977795221452,0.9064066904646615,0.33615181889003887,0.6431272280385756,0.0958216249840872,0.6945,0.6431272280385756,0.675,0.9064066904646615,0.7265,0.6011870989530563,0.060391615059631545,0.35078747273736993,0.82,1.0,0.33615181889003887,0.5308630530226275,0.45999999999999996
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,128,0.9953697365220218,0.9337822480117643,0.3170852626089898,0.5148642352563921,0.11372529113807991,0.3535,0.5148642352563921,0.16499999999999998,0.9337822480117643,0.357,0.7484708428826076,0.051586737110214755,0.5806799822777456,0.59,1.0,0.3170852626089898,0.5130866225277989,0.15999999999999998
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,256,0.9946580747240579,0.9196818973344173,0.32450182594973104,0.559865449622394,0.10767452416202947,0.5579999999999999,0.559865449622394,0.49,0.9196818973344173,0.5695,0.6464478766934124,0.056943916983479434,0.46419041072642736,0.6950000000000001,1.0,0.32450182594973104,0.5240250341589627,0.42500000000000004
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,512,0.9906795916838531,0.917466395055367,0.32758783607723385,0.6342671316566542,0.09624007323501912,0.6585,0.6342671316566542,0.62,0.917466395055367,0.6815,0.6220939539988007,0.0595362945138666,0.39834091680274425,0.765,1.0,0.32758783607723385,0.5353565771758929,0.45999999999999996
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,1024,0.9902195150914528,0.9128382787333911,0.3359567163075634,0.6461292372385036,0.09571181596825247,0.7155,0.6461292372385036,0.69,0.9128382787333911,0.749,0.6260715038703654,0.06181018004473122,0.3701003500596773,0.805,1.0,0.3359567163075634,0.5228172218708272,0.495
