method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
countergan_one_shot,disease_to_no_disease,128,0.83,1.0,0.009377128140022251,128.0,1
countergan_one_shot,disease_to_no_disease,256,0.83,1.0,0.012369195290002608,256.0,1
countergan_one_shot,disease_to_no_disease,512,0.84,1.0,0.018082244890074435,512.0,1
countergan_one_shot,disease_to_no_disease,1024,0.84,1.0,0.02965116667000075,1024.0,1
countergan_one_shot,no_disease_to_disease,128,0.7,1.0,0.00887359078998088,128.0,1
countergan_one_shot,no_disease_to_disease,256,0.7,1.0,0.011131391240023731,256.0,1
countergan_one_shot,no_disease_to_disease,512,0.7,1.0,0.01619253092996587,512.0,1
countergan_one_shot,no_disease_to_disease,1024,0.7,1.0,0.025611560449960963,1024.0,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.83,1.0,0.017924006290004398,128.0,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,0.92,1.17,0.02090224595005566,149.76,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,0.93,1.34,0.022891925010035265,171.52,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,1024,0.94,1.57,0.026162384880053652,200.96,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.7,1.0,0.018792455470074857,128.0,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.71,1.31,0.022798604289992,167.68,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.73,1.87,0.03071435052003835,239.36,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,1024,0.76,2.91,0.04554847929996868,372.48,1
dice_gradient_style,disease_to_no_disease,128,0.06,1.0,0.020511078859999542,128.0,1
dice_gradient_style,disease_to_no_disease,256,0.25,1.0,0.03642130957994596,256.0,1
dice_gradient_style,disease_to_no_disease,512,0.79,1.0,0.06752446097994834,512.0,1
dice_gradient_style,disease_to_no_disease,1024,0.83,1.0,0.13076307949008878,1024.0,1
dice_gradient_style,no_disease_to_disease,128,0.03,1.0,0.020188862149980197,128.0,1
dice_gradient_style,no_disease_to_disease,256,0.1,1.0,0.03641119444000651,256.0,1
dice_gradient_style,no_disease_to_disease,512,0.31,1.0,0.06763272855995638,512.0,1
dice_gradient_style,no_disease_to_disease,1024,0.61,1.0,0.13076029511001253,1024.0,1
genetic_cfe,disease_to_no_disease,128,0.3,1.0,0.00631500646004497,128.0,1
genetic_cfe,disease_to_no_disease,256,0.42,1.67,0.010532763360024545,213.76,1
genetic_cfe,disease_to_no_disease,512,0.67,2.71,0.01694043739001245,346.88,1
genetic_cfe,disease_to_no_disease,1024,0.73,3.98,0.024918854909983565,509.44,1
genetic_cfe,no_disease_to_disease,128,0.13,1.0,0.006171704400012459,128.0,1
genetic_cfe,no_disease_to_disease,256,0.14,1.89,0.01171832585010634,241.92,1
genetic_cfe,no_disease_to_disease,512,0.24,3.57,0.02209312923992911,456.96,1
genetic_cfe,no_disease_to_disease,1024,0.48,6.24,0.038492595549987525,798.72,1
proposed_countergan,disease_to_no_disease,128,0.83,1.0,0.009297867690047496,128.0,1
proposed_countergan,disease_to_no_disease,256,0.91,1.17,0.010573831750016326,149.76,1
proposed_countergan,disease_to_no_disease,512,0.94,1.31,0.011340866140044455,167.68,1
proposed_countergan,disease_to_no_disease,1024,0.96,1.51,0.01566670266000074,193.28,1
proposed_countergan,no_disease_to_disease,128,0.7,1.0,0.00900630716001615,128.0,1
