direction,method_family,candidates,label_agreement,mean_abs_logit_error,max_abs_logit_error,minimum_abs_plaintext_logit
disease_to_no_disease,Baseline,129,1.0,2.8997671297981918e-05,0.0001682199384287486,0.10361773222539761
disease_to_no_disease,DP-CounterGAN eps=16,129,1.0,5.929140032951337e-05,0.000721252050631449,0.125858506308692
disease_to_no_disease,DP-CounterGAN eps=2,129,1.0,8.807524987155014e-05,0.0006596899000257395,0.145347417752484
disease_to_no_disease,DP-CounterGAN eps=4,129,1.0,8.287393533605957e-05,0.001182115945603357,0.10596920210307137
disease_to_no_disease,DP-CounterGAN eps=8,129,1.0,6.936796358977793e-05,0.000613526896501071,0.1458796832220467
disease_to_no_disease,Non-DP CounterGAN,129,1.0,9.522275496459676e-05,0.0003096988273831869,0.12241589315629059
no_disease_to_disease,Baseline,129,1.0,0.00012274128319196318,0.0004930469851061048,0.10269041386114947
no_disease_to_disease,DP-CounterGAN eps=16,129,1.0,0.0002293341809789098,0.0033901826734705764,0.20110142274614584
no_disease_to_disease,DP-CounterGAN eps=2,126,1.0,0.0005214889494096147,0.003636436156682521,0.13521934759689358
no_disease_to_disease,DP-CounterGAN eps=4,126,1.0,0.00024599837885127477,0.0012450356992417255,0.18989491678598425
no_disease_to_disease,DP-CounterGAN eps=8,126,1.0,0.0002493629115536858,0.003881608346404164,0.1293868070694919
no_disease_to_disease,Non-DP CounterGAN,126,1.0,0.00037376417158828146,0.0019088035502790035,0.35656780711136105
