population,direction,inner_queries,valid_cfe_yield_at_k,robust_validity,sparsity,diversity,mean_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,maximum_rounds,candidate_budget,total_latency_seconds_per_round_median,time_per_candidate_seconds_median,throughput_candidates_per_second_median,total_communication_mb_per_round_median,peak_rss_mb_median,max_abs_logit_error_median,plaintext_he_label_agreement_median,all_repetitions_pass_gate,composed_he_time_to_k10_or_cap_seconds,composed_he_time_to_candidate_cap_seconds,composed_communication_to_k10_or_cap_mb,selected_for_v55_outer
32,disease_to_no_disease,4,1.0,0.9708333333333333,0.5727941176470588,0.08874298818409437,1.0,32.0,16,512,80.50233779200016,2.515698056000005,0.3975039840790806,49.231296,1298.255872,0.0004985027699504485,1.0,True,80.50233779200016,1288.0374046720026,49.231296,False
32,no_disease_to_disease,4,1.0,0.9875,0.6051470588235295,0.09432396292686455,1.0,32.0,16,512,80.50233779200016,2.515698056000005,0.3975039840790806,49.231296,1298.255872,0.0004985027699504485,1.0,True,80.50233779200016,1288.0374046720026,49.231296,False
64,disease_to_no_disease,4,1.0,0.9625,0.6176470588235293,0.05807729670777913,1.0,64.0,8,512,80.63507672599826,1.2599230738437228,0.7936992509782681,49.231794,1299.329024,0.001908834117614333,1.0,True,80.63507672599826,645.0806138079861,49.231794,True
64,no_disease_to_disease,4,1.0,0.975,0.6264705882352941,0.0750001911073923,1.0,64.0,8,512,80.63507672599826,1.2599230738437228,0.7936992509782681,49.231794,1299.329024,0.001908834117614333,1.0,True,80.63507672599826,645.0806138079861,49.231794,True
128,disease_to_no_disease,4,1.0,0.9833333333333334,0.5088235294117647,0.07047748658806083,1.0,128.0,4,512,80.53751384499901,0.6291993269140548,1.5893214713126904,49.231507,1301.8112,0.002084014443298088,1.0,True,80.53751384499901,322.15005537999605,49.231507,False
128,no_disease_to_disease,4,1.0,1.0,0.4779411764705882,0.09131601452827451,1.0,128.0,4,512,80.53751384499901,0.6291993269140548,1.5893214713126904,49.231507,1301.8112,0.002084014443298088,1.0,True,80.53751384499901,322.15005537999605,49.231507,False
256,disease_to_no_disease,4,1.0,1.0,0.4294117647058824,0.06470211502164597,1.0,256.0,2,512,80.57418413600135,0.31474290678125527,3.177196303569106,49.230306,1301.819392,0.0033893945554126503,1.0,True,80.57418413600135,161.1483682720027,49.230306,False
256,no_disease_to_disease,4,1.0,0.9875,0.3897058823529411,0.07717373222112653,1.0,256.0,2,512,80.57418413600135,0.31474290678125527,3.177196303569106,49.230306,1301.819392,0.0033893945554126503,1.0,True,80.57418413600135,161.1483682720027,49.230306,False
512,disease_to_no_disease,4,1.0,1.0,0.4051470588235294,0.06287443172186608,1.0,512.0,1,512,80.56391783899971,0.15735140202929632,6.355202350302643,49.229436,1301.819392,0.003635985185297841,1.0,True,80.56391783899971,80.56391783899971,49.229436,False
512,no_disease_to_disease,4,1.0,1.0,0.3499999999999999,0.07074673101305957,1.0,512.0,1,512,80.56391783899971,0.15735140202929632,6.355202350302643,49.229436,1301.819392,0.003635985185297841,1.0,True,80.56391783899971,80.56391783899971,49.229436,False
