method,method_label,direction,n_factuals,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_yield_at_k,proximity,sparsity,diversity,plausibility,constraint_validity,runtime_seconds_mean,access_stratum,candidate_budget,native_control,same_cohort_constraints_metrics,equal_compute_budget_claimed
countergan_one_shot,CounterGAN one-shot,disease_to_no_disease,100.0,0.965,0.99,0.95,0.942,0.1353072071015232,0.156634269869564,0.027864226017787,0.7743761563876773,1.0,0.0963287517100616,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
countergan_one_shot,CounterGAN one-shot,no_disease_to_disease,100.0,0.99,0.99,0.99,0.987,0.130079635089696,0.1633689839572192,0.0392278403307151,0.8252896062166523,1.0,0.0935140811697965,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.897,0.1039102731645107,0.5496764705882353,0.0912937747687101,0.8819061123323582,1.0,3.4053879019800206,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,no_disease_to_disease,100.0,0.99,0.99,0.99,0.94,0.104161109248496,0.5340166369578135,0.0873494069985669,0.8763616727423438,1.0,3.449641883759923,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
dice_gradient_style,Custom DiCE-style gradient,disease_to_no_disease,100.0,0.0789999999999999,0.79,0.0,0.0779999999999999,0.0781343170925031,0.0878629932985852,0.0,0.7644460996620838,1.0,0.1482969907100141,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
dice_gradient_style,Custom DiCE-style gradient,no_disease_to_disease,100.0,0.0899999999999999,0.87,0.0,0.0859999999999999,0.0817896839359711,0.0917849898580121,0.0009621393106792,0.7565202232939646,1.0,0.1485594198000126,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
genetic_cfe,Budget-matched genetic CFE,disease_to_no_disease,100.0,0.8959999999999999,0.98,0.83,0.77,0.0891724802857759,0.2448279311724689,0.0851270944184186,0.8607347169982522,1.0,0.7072783104199971,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
genetic_cfe,Budget-matched genetic CFE,no_disease_to_disease,100.0,0.99,0.99,0.99,0.919,0.0849136675548071,0.3003267973856208,0.0887599358654985,0.8859505094722683,1.0,0.7417376892500215,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_countergan,CounterGAN + iterative black-box search,disease_to_no_disease,100.0,1.0,1.0,1.0,0.9640000000000002,0.1386728649586439,0.1248235294117647,0.0349969415739178,0.7832201973375424,1.0,0.1047884819999672,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
proposed_countergan,CounterGAN + iterative black-box search,no_disease_to_disease,100.0,0.99,0.99,0.99,0.989,0.1346367072276394,0.1226975638740345,0.0402853518649183,0.8323713916005882,1.0,0.0879046503599965,custom counted-candidate implementation,512.0,counted candidate evaluations,True,False
