method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,constraint_validity
countergan_one_shot,CounterGAN one-shot,64,0.9525,0.98,0.885,0.944,0.845,1.0
countergan_one_shot,CounterGAN one-shot,128,0.9664999999999999,0.99,0.9299999999999999,0.9495,0.875,1.0
countergan_one_shot,CounterGAN one-shot,256,0.9745,0.99,0.9550000000000001,0.9620000000000001,0.8999999999999999,1.0
countergan_one_shot,CounterGAN one-shot,512,0.9775,0.99,0.97,0.9645,0.935,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,0.9595,0.98,0.885,0.94,0.82,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,0.986,0.995,0.98,0.9595,0.8300000000000001,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,0.995,0.995,0.995,0.9564999999999999,0.795,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,512,0.995,0.995,0.995,0.9185,0.61,1.0
dice_gradient_style,Custom DiCE-style gradient,64,0.0125,0.125,0.0,0.007000000000000001,0.0,1.0
dice_gradient_style,Custom DiCE-style gradient,128,0.029500000000000005,0.295,0.0,0.023,0.0,1.0
dice_gradient_style,Custom DiCE-style gradient,256,0.059000000000000004,0.5800000000000001,0.0,0.05500000000000001,0.0,1.0
dice_gradient_style,Custom DiCE-style gradient,512,0.08449999999999999,0.8300000000000001,0.0,0.082,0.0,1.0
genetic_cfe,Budget-matched genetic CFE,64,0.389,0.65,0.235,0.323,0.065,1.0
genetic_cfe,Budget-matched genetic CFE,128,0.619,0.75,0.54,0.502,0.1,1.0
genetic_cfe,Budget-matched genetic CFE,256,0.7955000000000001,0.85,0.7649999999999999,0.6745000000000001,0.17500000000000002,1.0
genetic_cfe,Budget-matched genetic CFE,512,0.943,0.985,0.9099999999999999,0.8445,0.37,1.0
proposed_countergan,CounterGAN + iterative black-box search,64,0.9525,0.98,0.885,0.944,0.845,1.0
proposed_countergan,CounterGAN + iterative black-box search,128,0.9884999999999999,0.995,0.975,0.973,0.925,1.0
proposed_countergan,CounterGAN + iterative black-box search,256,0.995,0.995,0.995,0.981,0.925,1.0
proposed_countergan,CounterGAN + iterative black-box search,512,0.995,0.995,0.995,0.9765000000000001,0.915,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,0.9205,0.94,0.89,0.8760000000000001,0.6699999999999999,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.964,0.99,0.9450000000000001,0.9199999999999999,0.685,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,0.9904999999999999,0.995,0.99,0.9295,0.675,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,0.995,0.995,0.995,0.8999999999999999,0.48,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,0.919,0.9450000000000001,0.8999999999999999,0.866,0.635,1.0
