method,method_label,candidate_budget,mean_target_logit_margin,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice
countergan_one_shot,CounterGAN one-shot,64,8.03463908940892,0.136119798479863,0.12259667300222185,0.005378821970316818,0.033953207172569784,0.8029828451320393,0.8029828451320393,0.6455586795792981,0.669962065425983,0.9394136743780814,0.9394136743780814,0.9824605340323191
countergan_one_shot,CounterGAN one-shot,128,7.912951541067374,0.13489362138389338,0.13612136773901484,0.0053075396825396845,0.03380194970528887,0.8018079248584005,0.8018079248584005,0.6546897546897548,0.6620089786756453,0.9378716320494012,0.9378716320494012,0.9810951577405435
countergan_one_shot,CounterGAN one-shot,256,7.7905607712690275,0.13363185942624556,0.1494795056069566,0.008141601197156756,0.033643242799573474,0.7997734691714776,0.7997734691714776,0.6557559724226392,0.6572474747474748,0.9394697741642124,0.9394697741642124,0.979885019422277
countergan_one_shot,CounterGAN one-shot,512,7.655274275426912,0.13269342109560966,0.16000162691339165,0.009680134680134683,0.03354603317425106,0.7998328813021649,0.7998328813021649,0.6551948051948051,0.6571572871572872,0.9375090377105604,0.9375090377105604,0.9787247237601238
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,7.845732530606708,0.12621094557837523,0.2759184361203262,0.14355932332378496,0.03905048240387374,0.8080282187605712,0.8080282187605712,0.6357739768822244,0.6776449199902809,0.9388293081462525,0.9388293081462525,0.985449917324756
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,8.29690853384408,0.12634344295156424,0.32560617201426023,0.1987327441077441,0.06463777392820427,0.8396381011584377,0.8396381011584377,0.5289356060606061,0.6608161616161616,0.9297062832416367,0.9297062832416367,0.9820466362729037
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,8.775934109868425,0.11919583384512049,0.4183422459893048,0.31111069023569027,0.08015301038727465,0.8642364463075142,0.8642364463075142,0.4418282828282828,0.6448505050505051,0.921487603305785,0.921487603305785,0.9742671126567319
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,512,9.085304275684887,0.10403569120650338,0.5418465537730244,0.44738468013468013,0.08932159088363852,0.8791338925373509,0.8791338925373509,0.4280555555555555,0.6159484848484849,0.9149617385981021,0.9149617385981021,0.9515801632719454
dice_gradient_style,Custom DiCE-style gradient,64,0.5075322780240741,0.014052085306805868,0.7963643790849673,0.5347222222222222,0.0,0.6854611148446312,0.6854611148446312,0.9131944444444444,0.4125,0.7745726495726496,0.7745726495726496,0.5439369124113043
dice_gradient_style,Custom DiCE-style gradient,128,1.2671450829403406,0.03058549622417009,0.11643662378956499,0.0105958230958231,0.0,0.6868017700905293,0.6868017700905293,0.9097051597051597,0.37481572481572484,0.8918210168210169,0.8918210168210169,0.952068571190753
dice_gradient_style,Custom DiCE-style gradient,256,2.4669105885106895,0.05419049177407509,0.08699229691876753,0.0035714285714285726,0.0003863130540897449,0.7123868040410832,0.7123868040410832,0.8267857142857142,0.4129761904761905,0.9176982021809608,0.9176982021809608,0.9851101013872856
dice_gradient_style,Custom DiCE-style gradient,512,4.291081351747718,0.07996200051423713,0.08982399157829873,0.0004789272030651343,0.00048106965533960825,0.7604831614780241,0.7604831614780241,0.7176996944565692,0.44559871962752806,0.9421612869888734,0.9421612869888734,0.9873498095778495
genetic_cfe,Budget-matched genetic CFE,64,1.791290766896977,0.08106318241714136,0.15177098315171483,0.007541676594148129,0.08971819383965701,0.831910859876547,0.831910859876547,0.47046762545597953,0.526625238259555,0.8561768559948637,0.8561768559948637,0.9696559527269342
genetic_cfe,Budget-matched genetic CFE,128,1.7300492817491437,0.08102492960303595,0.1771031690188037,0.00964333181438445,0.08836199542480792,0.8311919015398599,0.8311919015398599,0.4747649426596795,0.5015371383002962,0.8551429819454898,0.8551429819454898,0.965597283580734
genetic_cfe,Budget-matched genetic CFE,256,2.0683271075392335,0.08195274171038777,0.21959612696978068,0.017218546972068104,0.08898614783267714,0.8412634099842422,0.8412634099842422,0.45794683928486746,0.5058252714942857,0.8725476970035229,0.8725476970035229,0.9600133308128203
genetic_cfe,Budget-matched genetic CFE,512,2.853398435129576,0.08704307392029154,0.27257736427904494,0.029949580842437994,0.0869435151419586,0.8733426132352603,0.8733426132352603,0.4287672644815502,0.49578231292517005,0.8957825922212052,0.8957825922212052,0.9538254598237541
proposed_countergan,CounterGAN + iterative black-box search,64,8.03463908940892,0.136119798479863,0.12259667300222185,0.005378821970316818,0.033953207172569784,0.8029828451320393,0.8029828451320393,0.6455586795792981,0.669962065425983,0.9394136743780814,0.9394136743780814,0.9824605340323191
proposed_countergan,CounterGAN + iterative black-box search,128,7.918067341603414,0.13630659012519047,0.1241622633902046,0.004265151515151517,0.037186387629069464,0.8068445969109117,0.8068445969109117,0.6316982323232323,0.6604565656565657,0.9390410413921386,0.9390410413921386,0.9824649725617236
proposed_countergan,CounterGAN + iterative black-box search,256,7.97370414856859,0.13636554984921456,0.12360294117647062,0.004933501683501686,0.03707874381961771,0.806393517928366,0.806393517928366,0.645959595959596,0.663269696969697,0.9417217630853996,0.9417217630853996,0.9824291043015262
proposed_countergan,CounterGAN + iterative black-box search,512,8.067653465240893,0.1366547860931417,0.12376054664289961,0.004516835016835019,0.037641146719418095,0.8077957944690652,0.8077957944690652,0.6399444444444444,0.6666939393939395,0.9395745332108969,0.9395745332108969,0.9827195741766761
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,5.51455711057631,0.12366454766695636,0.28230612469706984,0.16005005580146028,0.06881097006446528,0.7452219051325377,0.7452219051325377,0.7763647713085915,0.7032385654295767,0.9274311190888731,0.9274311190888731,0.9851186002047312
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,6.094027887089084,0.12328724862273896,0.33239538239538235,0.2154491341991342,0.08156520180930996,0.7785611016442437,0.7785611016442437,0.6937770562770563,0.6831060606060606,0.9250150402747805,0.9250150402747805,0.9810897459347258
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,5.951755195621288,0.114200902095422,0.4364643493761141,0.33419612794612796,0.08799952120999946,0.8037387544270598,0.8037387544270598,0.6119040404040403,0.6666727272727273,0.9164959619505074,0.9164959619505074,0.9712505184339371
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,5.766567375586189,0.09711118039722094,0.5687320261437909,0.48064898989898985,0.08755520251231513,0.8292294401062588,0.8292294401062588,0.5847373737373738,0.6237939393939393,0.9126430976430977,0.9126430976430977,0.9429502911956913
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,6.73807840739352,0.14384362131965403,0.2663380553686676,0.14959985215087257,0.05789310623434032,0.819722974259212,0.819722974259212,0.555559916274202,0.7801939896837856,0.9245564561430506,0.9245564561430506,0.9843559332024397
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,7.196994793361691,0.14165592172577718,0.3198493096082544,0.20797645700996215,0.07218699987175116,0.8436224290331831,0.8436224290331831,0.5165859627199834,0.7729552520789633,0.9298649262130503,0.9298649262130503,0.9798166923224307
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,7.436866213908099,0.13246410640013037,0.4068010992275698,0.3084520202020202,0.0810022937894018,0.8654199070333415,0.8654199070333415,0.48294949494949496,0.7602444444444445,0.9156106519742884,0.9156106519742884,0.9712249438993233
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,8.528724474067038,0.1182633905661189,0.5174604872251931,0.42267760942760946,0.09221363943070174,0.8942339746487806,0.8942339746487806,0.4381161616161616,0.7320272727272727,0.9231787572696664,0.9231787572696664,0.9486631942161061
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,64,6.057909750894221,0.13591005190864267,0.264082952114867,0.1342578911653971,0.060936868135722674,0.8453674533041997,0.8453674533041997,0.5064026792750197,0.7342463302392381,0.9270989267949121,0.9270989267949121,0.9858533223606466
