method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
countergan_one_shot,disease_to_no_disease,64,100,0.0849299134100238,1.0,64.0,5999,6400,0.93734375,0.9311400772633338,0.9430227257975192
countergan_one_shot,disease_to_no_disease,128,100,0.08657457872998747,1.0,128.0,12014,12800,0.93859375,0.9343017105072943,0.9426226122524911
countergan_one_shot,disease_to_no_disease,256,100,0.09174842167005409,1.0,256.0,24023,25600,0.9383984375,0.9353869300274362,0.9412783952168429
countergan_one_shot,disease_to_no_disease,512,100,0.09632875171006162,1.0,512.0,48101,51200,0.93947265625,0.937373972558017,0.941505398947569
countergan_one_shot,no_disease_to_disease,64,100,0.08618865872973401,1.0,64.0,6335,6400,0.98984375,0.9870766767718777,0.992023140161232
countergan_one_shot,no_disease_to_disease,128,100,0.08448503540013917,1.0,128.0,12671,12800,0.989921875,0.9880385655445398,0.9915112078837847
countergan_one_shot,no_disease_to_disease,256,100,0.08622111568991386,1.0,256.0,25341,25600,0.9898828125,0.9885813181273114,0.9910373082549843
countergan_one_shot,no_disease_to_disease,512,100,0.09351408116979655,1.0,512.0,50678,51200,0.9898046875,0.9888970599916187,0.9906388219077229
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,100,0.3573237725300078,1.0,64.0,5964,6400,0.931875,0.9254394347068943,0.9377924294089318
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,100,0.7670609844299452,1.15,73.6,11868,12800,0.9271875,0.9225569681423708,0.931561698913295
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,100,1.6482184786800098,1.16,74.24,23691,25600,0.9254296875,0.9221474907571644,0.9285842260062181
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,100,3.4053879019800206,1.19,76.16,46662,51200,0.9113671875,0.9088744000685823,0.9137982510425083
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,100,0.365821768099886,1.0,64.0,6336,6400,0.99,0.9872514588659667,0.9921606706084294
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,100,0.78806809590993,1.03,65.92,12645,12800,0.987890625,0.9858441055012019,0.9896443867743343
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,100,1.6249810178998814,1.05,67.2,25265,25600,0.9869140625,0.9854470981279242,0.9882349190840458
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,100,3.449641883759923,1.08,69.12,50091,51200,0.97833984375,0.9770425704367933,0.9795653442133694
dice_gradient_style,disease_to_no_disease,64,100,0.09159756182996716,1.0,64.0,214,6400,0.0334375,0.029305378498119775,0.03812937322045577
dice_gradient_style,disease_to_no_disease,128,100,0.10000360117001947,1.0,128.0,536,12800,0.041875,0.038540230517251285,0.045484666407689646
dice_gradient_style,disease_to_no_disease,256,100,0.11712836714000333,1.0,256.0,877,25600,0.0342578125,0.032098641761580046,0.036556738004299025
dice_gradient_style,disease_to_no_disease,512,100,0.14829699071001415,1.0,512.0,1245,51200,0.02431640625,0.02301747737760321,0.025686709413270645
dice_gradient_style,no_disease_to_disease,64,100,0.09261281561001851,1.0,64.0,129,6400,0.02015625,0.01699007641598544,0.02389810929323944
dice_gradient_style,no_disease_to_disease,128,100,0.10019602069999564,1.0,128.0,297,12800,0.023203125,0.020734580599095977,0.025957770344443333
dice_gradient_style,no_disease_to_disease,256,100,0.11652447693000795,1.0,256.0,929,25600,0.0362890625,0.034066939059537914,0.03865033119130084
dice_gradient_style,no_disease_to_disease,512,100,0.1485594198000126,1.0,512.0,1368,51200,0.02671875,0.02535703836017886,0.02815147546927937
genetic_cfe,disease_to_no_disease,64,100,0.08544461908998528,1.0,64.0,345,6400,0.05390625,0.048636240425452525,0.059711454201651686
genetic_cfe,disease_to_no_disease,128,100,0.1715147198700106,1.88,120.32,1187,12800,0.092734375,0.08783089465425685,0.09788223421165669
genetic_cfe,disease_to_no_disease,256,100,0.3476413513400348,3.06,195.84,4645,25600,0.1814453125,0.17677231853526776,0.1862138948330745
genetic_cfe,disease_to_no_disease,512,100,0.7072783104199971,4.23,270.72,18224,51200,0.3559375,0.35180116342870466,0.36009545253391023
genetic_cfe,no_disease_to_disease,64,100,0.08643423246998282,1.0,64.0,974,6400,0.1521875,0.14359600725104144,0.16119627584525764
genetic_cfe,no_disease_to_disease,128,100,0.1732849286000146,1.65,105.6,3107,12800,0.242734375,0.23538494145076624,0.25023818023644906
genetic_cfe,no_disease_to_disease,256,100,0.3549662221300241,2.06,131.84,10955,25600,0.4279296875,0.4218800190118815,0.4340009820506067
genetic_cfe,no_disease_to_disease,512,100,0.7417376892500215,2.17,138.88,32879,51200,0.64216796875,0.63800525669197,0.646309349111735
proposed_countergan,disease_to_no_disease,64,100,0.08531972763010344,1.0,64.0,5999,6400,0.93734375,0.9311400772633338,0.9430227257975192
proposed_countergan,disease_to_no_disease,128,100,0.10183501994006292,1.21,77.44,7042,7744,0.909349173553719,0.902749930704859,0.9155424974116317
proposed_countergan,disease_to_no_disease,256,100,0.1070076988598612,1.27,81.28,7215,8128,0.8876722440944882,0.8806235157228031,0.8943547019309799
proposed_countergan,disease_to_no_disease,512,100,0.1047884819999672,1.23,78.72,7090,7872,0.900660569105691,0.8938562188889876,0.907074073192405
proposed_countergan,no_disease_to_disease,64,100,0.08371204621023935,1.0,64.0,6335,6400,0.98984375,0.9870766767718777,0.992023140161232
proposed_countergan,no_disease_to_disease,128,100,0.08270242525994036,1.01,64.64,6335,6464,0.9800433168316832,0.9763380194977496,0.9831783878712654
proposed_countergan,no_disease_to_disease,256,100,0.08470095283000774,1.03,65.92,6334,6592,0.9608616504854369,0.9559055639267086,0.9652809196984392
proposed_countergan,no_disease_to_disease,512,100,0.08790465035999659,1.07,68.48,6335,6848,0.9250876168224299,0.9186115154412731,0.9310870706964824
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,100,0.3705585294400498,1.0,64.0,5045,6400,0.78828125,0.7781011115306936,0.7981155271428589
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,100,0.7735992552300468,1.17,74.88,10303,12800,0.804921875,0.7979660687611784,0.8116947135208742
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,100,1.6220927981099431,1.28,81.92,21057,25600,0.8225390625,0.8178106431176836,0.8271706979267798
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,100,3.405800323169924,1.31,83.84,41541,51200,0.81134765625,0.8079355308830781,0.8147130652313411
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,100,0.3894808163501148,1.0,64.0,5935,6400,0.92734375,0.9207247588437873,0.933450041574731
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,100,0.8097533971200938,1.02,65.28,11985,12800,0.936328125,0.9319659168025033,0.9404285154407103
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,100,1.6995327651097978,1.04,66.56,23927,25600,0.9346484375,0.9315552773412702,0.937611173161545
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,100,3.533570199740134,1.07,68.48,46900,51200,0.916015625,0.913581799486984,0.9183870291459203
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,100,0.3532773703901057,1.0,64.0,4959,6400,0.77484375,0.7644475223439942,0.7849102377789214
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,100,0.7606028675199741,1.16,74.24,10135,12800,0.791796875,0.7846759809446212,0.7987426769655673
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,100,1.6139287951299957,1.27,81.28,20753,25600,0.8106640625,0.8058184273313816,0.815416477031779
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,100,3.3595423377099904,1.29,82.56,40867,51200,0.79818359375,0.7946847775189324,0.8016376688068213
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,64,100,0.37925287003979974,1.0,64.0,5776,6400,0.9025,0.894989239514625,0.9095278668393433
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,100,0.8017994962098055,1.05,67.2,11756,12800,0.9184375,0.9135695362856426,0.9230543811887804
