method,candidate_budget,direction,outcome,size
countergan_one_shot,64,disease_to_no_disease,full_k,78
countergan_one_shot,64,disease_to_no_disease,no_valid_cfe,3
countergan_one_shot,64,disease_to_no_disease,partial_lt_k,19
countergan_one_shot,64,no_disease_to_disease,full_k,99
countergan_one_shot,64,no_disease_to_disease,no_valid_cfe,1
countergan_one_shot,128,disease_to_no_disease,full_k,87
countergan_one_shot,128,disease_to_no_disease,no_valid_cfe,1
countergan_one_shot,128,disease_to_no_disease,partial_lt_k,12
countergan_one_shot,128,no_disease_to_disease,full_k,99
countergan_one_shot,128,no_disease_to_disease,no_valid_cfe,1
countergan_one_shot,256,disease_to_no_disease,full_k,92
countergan_one_shot,256,disease_to_no_disease,no_valid_cfe,1
countergan_one_shot,256,disease_to_no_disease,partial_lt_k,7
countergan_one_shot,256,no_disease_to_disease,full_k,99
countergan_one_shot,256,no_disease_to_disease,no_valid_cfe,1
countergan_one_shot,512,disease_to_no_disease,full_k,95
countergan_one_shot,512,disease_to_no_disease,no_valid_cfe,1
countergan_one_shot,512,disease_to_no_disease,partial_lt_k,4
countergan_one_shot,512,no_disease_to_disease,full_k,99
countergan_one_shot,512,no_disease_to_disease,no_valid_cfe,1
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,full_k,79
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,no_valid_cfe,3
countergan_sparse_diverse_no_dp,64,disease_to_no_disease,partial_lt_k,18
countergan_sparse_diverse_no_dp,64,no_disease_to_disease,full_k,98
countergan_sparse_diverse_no_dp,64,no_disease_to_disease,no_valid_cfe,1
countergan_sparse_diverse_no_dp,64,no_disease_to_disease,partial_lt_k,1
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,full_k,97
countergan_sparse_diverse_no_dp,128,disease_to_no_disease,partial_lt_k,3
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,full_k,99
countergan_sparse_diverse_no_dp,128,no_disease_to_disease,no_valid_cfe,1
countergan_sparse_diverse_no_dp,256,disease_to_no_disease,full_k,100
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,full_k,99
countergan_sparse_diverse_no_dp,256,no_disease_to_disease,no_valid_cfe,1
countergan_sparse_diverse_no_dp,512,disease_to_no_disease,full_k,100
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,full_k,99
countergan_sparse_diverse_no_dp,512,no_disease_to_disease,no_valid_cfe,1
dice_gradient_style,64,disease_to_no_disease,no_valid_cfe,84
dice_gradient_style,64,disease_to_no_disease,partial_lt_k,16
dice_gradient_style,64,no_disease_to_disease,no_valid_cfe,91
dice_gradient_style,64,no_disease_to_disease,partial_lt_k,9
dice_gradient_style,128,disease_to_no_disease,no_valid_cfe,63
dice_gradient_style,128,disease_to_no_disease,partial_lt_k,37
dice_gradient_style,128,no_disease_to_disease,no_valid_cfe,78
dice_gradient_style,128,no_disease_to_disease,partial_lt_k,22
dice_gradient_style,256,disease_to_no_disease,no_valid_cfe,44
dice_gradient_style,256,disease_to_no_disease,partial_lt_k,56
dice_gradient_style,256,no_disease_to_disease,no_valid_cfe,40
dice_gradient_style,256,no_disease_to_disease,partial_lt_k,60
dice_gradient_style,512,disease_to_no_disease,no_valid_cfe,21
dice_gradient_style,512,disease_to_no_disease,partial_lt_k,79
dice_gradient_style,512,no_disease_to_disease,no_valid_cfe,13
dice_gradient_style,512,no_disease_to_disease,partial_lt_k,87
genetic_cfe,64,disease_to_no_disease,full_k,15
genetic_cfe,64,disease_to_no_disease,no_valid_cfe,54
genetic_cfe,64,disease_to_no_disease,partial_lt_k,31
genetic_cfe,64,no_disease_to_disease,full_k,32
genetic_cfe,64,no_disease_to_disease,no_valid_cfe,16
genetic_cfe,64,no_disease_to_disease,partial_lt_k,52
genetic_cfe,128,disease_to_no_disease,full_k,34
genetic_cfe,128,disease_to_no_disease,no_valid_cfe,45
genetic_cfe,128,disease_to_no_disease,partial_lt_k,21
genetic_cfe,128,no_disease_to_disease,full_k,74
genetic_cfe,128,no_disease_to_disease,no_valid_cfe,5
genetic_cfe,128,no_disease_to_disease,partial_lt_k,21
genetic_cfe,256,disease_to_no_disease,full_k,58
genetic_cfe,256,disease_to_no_disease,no_valid_cfe,29
genetic_cfe,256,disease_to_no_disease,partial_lt_k,13
genetic_cfe,256,no_disease_to_disease,full_k,95
genetic_cfe,256,no_disease_to_disease,no_valid_cfe,1
genetic_cfe,256,no_disease_to_disease,partial_lt_k,4
genetic_cfe,512,disease_to_no_disease,full_k,83
genetic_cfe,512,disease_to_no_disease,no_valid_cfe,2
genetic_cfe,512,disease_to_no_disease,partial_lt_k,15
genetic_cfe,512,no_disease_to_disease,full_k,99
genetic_cfe,512,no_disease_to_disease,no_valid_cfe,1
proposed_countergan,64,disease_to_no_disease,full_k,78
proposed_countergan,64,disease_to_no_disease,no_valid_cfe,3
proposed_countergan,64,disease_to_no_disease,partial_lt_k,19
proposed_countergan,64,no_disease_to_disease,full_k,99
proposed_countergan,64,no_disease_to_disease,no_valid_cfe,1
proposed_countergan,128,disease_to_no_disease,full_k,96
proposed_countergan,128,disease_to_no_disease,partial_lt_k,4
proposed_countergan,128,no_disease_to_disease,full_k,99
proposed_countergan,128,no_disease_to_disease,no_valid_cfe,1
proposed_countergan,256,disease_to_no_disease,full_k,100
proposed_countergan,256,no_disease_to_disease,full_k,99
proposed_countergan,256,no_disease_to_disease,no_valid_cfe,1
proposed_countergan,512,disease_to_no_disease,full_k,100
proposed_countergan,512,no_disease_to_disease,full_k,99
proposed_countergan,512,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,full_k,79
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,11
proposed_dp_eps16_sparse_diverse,64,disease_to_no_disease,partial_lt_k,10
proposed_dp_eps16_sparse_diverse,64,no_disease_to_disease,full_k,99
proposed_dp_eps16_sparse_diverse,64,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,full_k,90
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,1
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,partial_lt_k,9
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,full_k,99
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,full_k,99
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,partial_lt_k,1
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,full_k,99
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,full_k,99
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps2_sparse_diverse,64,disease_to_no_disease,full_k,84
proposed_dp_eps2_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,9
proposed_dp_eps2_sparse_diverse,64,disease_to_no_disease,partial_lt_k,7
proposed_dp_eps2_sparse_diverse,64,no_disease_to_disease,full_k,96
proposed_dp_eps2_sparse_diverse,64,no_disease_to_disease,no_valid_cfe,2
proposed_dp_eps2_sparse_diverse,64,no_disease_to_disease,partial_lt_k,2
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,full_k,92
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,3
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,partial_lt_k,5
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,full_k,98
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,partial_lt_k,1
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,full_k,99
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,partial_lt_k,1
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,full_k,99
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,full_k,99
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,full_k,83
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,6
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,partial_lt_k,11
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,full_k,96
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,partial_lt_k,3
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,full_k,91
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,1
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,partial_lt_k,8
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,full_k,99
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,full_k,100
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,full_k,99
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,full_k,99
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,full_k,81
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,8
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,partial_lt_k,11
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,full_k,94
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,partial_lt_k,5
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,full_k,90
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,3
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,partial_lt_k,7
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,full_k,99
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,full_k,100
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,full_k,99
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,full_k,99
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,1
uniform_random,64,disease_to_no_disease,full_k,15
uniform_random,64,disease_to_no_disease,no_valid_cfe,54
uniform_random,64,disease_to_no_disease,partial_lt_k,31
uniform_random,64,no_disease_to_disease,full_k,32
uniform_random,64,no_disease_to_disease,no_valid_cfe,16
uniform_random,64,no_disease_to_disease,partial_lt_k,52
uniform_random,128,disease_to_no_disease,full_k,27
uniform_random,128,disease_to_no_disease,no_valid_cfe,47
uniform_random,128,disease_to_no_disease,partial_lt_k,26
uniform_random,128,no_disease_to_disease,full_k,77
uniform_random,128,no_disease_to_disease,no_valid_cfe,3
uniform_random,128,no_disease_to_disease,partial_lt_k,20
uniform_random,256,disease_to_no_disease,full_k,41
uniform_random,256,disease_to_no_disease,no_valid_cfe,29
uniform_random,256,disease_to_no_disease,partial_lt_k,30
uniform_random,256,no_disease_to_disease,full_k,97
uniform_random,256,no_disease_to_disease,no_valid_cfe,1
uniform_random,256,no_disease_to_disease,partial_lt_k,2
uniform_random,512,disease_to_no_disease,full_k,59
uniform_random,512,disease_to_no_disease,no_valid_cfe,10
uniform_random,512,disease_to_no_disease,partial_lt_k,31
uniform_random,512,no_disease_to_disease,full_k,99
uniform_random,512,no_disease_to_disease,no_valid_cfe,1
wachter_style,64,disease_to_no_disease,no_valid_cfe,84
wachter_style,64,disease_to_no_disease,partial_lt_k,16
wachter_style,64,no_disease_to_disease,no_valid_cfe,91
wachter_style,64,no_disease_to_disease,partial_lt_k,9
wachter_style,128,disease_to_no_disease,no_valid_cfe,63
wachter_style,128,disease_to_no_disease,partial_lt_k,37
wachter_style,128,no_disease_to_disease,no_valid_cfe,78
wachter_style,128,no_disease_to_disease,partial_lt_k,22
wachter_style,256,disease_to_no_disease,no_valid_cfe,44
wachter_style,256,disease_to_no_disease,partial_lt_k,56
wachter_style,256,no_disease_to_disease,no_valid_cfe,40
wachter_style,256,no_disease_to_disease,partial_lt_k,60
wachter_style,512,disease_to_no_disease,no_valid_cfe,21
wachter_style,512,disease_to_no_disease,partial_lt_k,79
wachter_style,512,no_disease_to_disease,no_valid_cfe,13
wachter_style,512,no_disease_to_disease,partial_lt_k,87
