method,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,proximity,sparsity,group_sparsity,plausibility
proposed_countergan,64,0.9525,0.98,0.885,0.136119798479863,0.12259667300222185,0.005378821970316818,0.8029828451320393
proposed_countergan,128,0.9884999999999999,0.995,0.975,0.13630659012519047,0.1241622633902046,0.004265151515151517,0.8068445969109117
proposed_countergan,256,0.995,0.995,0.995,0.13636554984921456,0.12360294117647062,0.004933501683501686,0.806393517928366
proposed_countergan,512,0.995,0.995,0.995,0.1366547860931417,0.12376054664289961,0.004516835016835019,0.8077957944690652
proposed_dp_eps16_sparse_diverse,64,0.9205,0.94,0.89,0.12366454766695636,0.28230612469706984,0.16005005580146028,0.7452219051325377
proposed_dp_eps16_sparse_diverse,128,0.964,0.99,0.9450000000000001,0.12328724862273896,0.33239538239538235,0.2154491341991342,0.7785611016442437
proposed_dp_eps16_sparse_diverse,256,0.9904999999999999,0.995,0.99,0.114200902095422,0.4364643493761141,0.33419612794612796,0.8037387544270598
proposed_dp_eps16_sparse_diverse,512,0.995,0.995,0.995,0.09711118039722094,0.5687320261437909,0.48064898989898985,0.8292294401062588
proposed_dp_eps2_sparse_diverse,64,0.919,0.9450000000000001,0.8999999999999999,0.14384362131965403,0.2663380553686676,0.14959985215087257,0.819722974259212
proposed_dp_eps2_sparse_diverse,128,0.967,0.98,0.95,0.14165592172577718,0.3198493096082544,0.20797645700996215,0.8436224290331831
proposed_dp_eps2_sparse_diverse,256,0.9945,0.995,0.99,0.13246410640013037,0.4068010992275698,0.3084520202020202,0.8654199070333415
proposed_dp_eps2_sparse_diverse,512,0.995,0.995,0.995,0.1182633905661189,0.5174604872251931,0.42267760942760946,0.8942339746487806
proposed_dp_eps4_sparse_diverse,64,0.9265,0.965,0.895,0.13591005190864267,0.264082952114867,0.1342578911653971,0.8453674533041997
proposed_dp_eps4_sparse_diverse,128,0.97,0.99,0.95,0.1338607423534297,0.3232748233973724,0.19823699962588848,0.8658053590718952
proposed_dp_eps4_sparse_diverse,256,0.995,0.995,0.995,0.12450940625158824,0.42111720142602493,0.31567508417508416,0.8831587061590249
proposed_dp_eps4_sparse_diverse,512,0.995,0.995,0.995,0.10302652850333187,0.5632189542483661,0.47276052188552187,0.8983968853854061
proposed_dp_eps8_sparse_diverse,64,0.9145000000000001,0.9550000000000001,0.875,0.11732304817720834,0.29140665076966227,0.15821186328432704,0.7872551395226826
proposed_dp_eps8_sparse_diverse,128,0.9645,0.98,0.9450000000000001,0.11510705533644489,0.35056226958137204,0.222772320033918,0.8090560432758256
proposed_dp_eps8_sparse_diverse,256,0.995,0.995,0.995,0.10844360588212507,0.4485329768270945,0.3410500841750842,0.8344939164513734
proposed_dp_eps8_sparse_diverse,512,0.995,0.995,0.995,0.09085042876821726,0.5871691919191919,0.4959145622895623,0.8524157595934344
