dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
mimic,countergan,single_draw_loss_threshold,101,1000,1000,16,0.4996255,-1,0.1352024972438812,0.5084934999999999,0.504,0.504,0.54,0.532,0.008,0.002,0.009,0.046
mimic,countergan,multi_draw_reconstruction,101,1000,1000,16,0.493993,-1,0.1214699521660804,0.5087685,0.507,0.507,0.585,0.571,0.014,0.001,0.006,0.045
mimic,countergan,multi_draw_mean_objective,101,1000,1000,16,0.497515,-1,0.1293133497238159,0.511934,0.5035,0.5035000000000001,0.644,0.637,0.007,0.002,0.006,0.055
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.513795,1,0.0530340142476946,0.5122525,0.5085,0.5085,0.53,0.513,0.017,0.001,0.004,0.038
mimic,countergan,released_discriminator_score,101,1000,1000,0,0.500463,1,-0.4328511357307434,0.502495,0.501,0.501,0.908,0.906,0.002,0.0,0.007,0.053
mimic,dp_eps16,single_draw_loss_threshold,101,1000,1000,16,0.5117050000000001,1,-0.1656440943479538,0.509494,0.5085,0.5085,0.696,0.679,0.0169999999999999,0.001,0.007,0.046
mimic,dp_eps16,multi_draw_reconstruction,101,1000,1000,16,0.496616,-1,0.1007367745041847,0.496928,0.4865,0.4865,0.722,0.749,-0.027,0.002,0.013,0.048
mimic,dp_eps16,multi_draw_mean_objective,101,1000,1000,16,0.5200815,1,-0.1572578698396682,0.482196,0.4925,0.4925,0.454,0.469,-0.0149999999999999,0.0,0.003,0.037
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.492909,-1,0.1918554121003046,0.5009334999999999,0.489,0.489,0.678,0.7,-0.0219999999999999,0.005,0.01,0.044
mimic,dp_eps16,released_discriminator_score,101,1000,1000,0,0.509609,1,1.0314397811889648,0.500834,0.4985,0.4985,0.453,0.456,-0.003,0.006,0.016,0.054
mimic,dp_eps8,single_draw_loss_threshold,101,1000,1000,16,0.511139,1,-0.1553059071302414,0.506913,0.497,0.497,0.647,0.653,-0.006,0.005,0.006,0.073
mimic,dp_eps8,multi_draw_reconstruction,101,1000,1000,16,0.5106385,1,-0.0989973396062851,0.499794,0.5055,0.5055000000000001,0.386,0.375,0.011,0.0,0.017,0.06
mimic,dp_eps8,multi_draw_mean_objective,101,1000,1000,16,0.491685,-1,0.2008437216281891,0.4973889999999999,0.499,0.499,0.377,0.379,-0.002,0.0,0.01,0.062
mimic,dp_eps8,calibrated_gaussian_reconstruction_likelihood,101,1000,1000,16,0.5079735000000001,1,-0.0402045324001716,0.5081549999999999,0.5095,0.5095,0.434,0.415,0.019,0.002,0.008,0.065
mimic,dp_eps8,released_discriminator_score,101,1000,1000,0,0.505168,1,0.7154309749603271,0.503779,0.5115,0.5115000000000001,0.51,0.487,0.023,0.004,0.014,0.063
mimic,dp_eps4,single_draw_loss_threshold,101,1000,1000,16,0.5091030000000001,1,-0.1708169132471084,0.493445,0.495,0.495,0.544,0.554,-0.01,0.0,0.011,0.053
