dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.4993156999999999,0.0106584084495659,0.49267326375,0.5053994912499999,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.5013500000000001,0.0085863263390113,0.4956,0.50575,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.5013500000000001,0.0085863263390113,0.4958,0.50575,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,0.0027,0.0171726526780226,-0.0081999999999999,0.0114,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.6116,0.2320690510267244,0.4767975,0.7475025000000001,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.6089,0.2303395802336676,0.4744925,0.7446025,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0025,0.0024608038433722,0.0012,0.004,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0126,0.0058727241454787,0.0094,0.0161,10
mimic,countergan,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0537,0.0090559986258342,0.0484974999999999,0.0591999999999999,10
mimic,countergan,multi_draw_mean_objective,evaluation_auc,0.49564045,0.011197830497839,0.4888009124999999,0.5019642475,10
mimic,countergan,multi_draw_mean_objective,evaluation_accuracy,0.4972499999999999,0.0095575740762089,0.49165,0.50295,10
mimic,countergan,multi_draw_mean_objective,evaluation_balanced_accuracy,0.4972499999999999,0.009557574076209,0.49185,0.5029999999999999,10
mimic,countergan,multi_draw_mean_objective,evaluation_membership_advantage,-0.0055,0.0191151481524179,-0.0165999999999999,0.0057999999999999,10
mimic,countergan,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.5891,0.2255715949414829,0.457095,0.7246099999999999,10
mimic,countergan,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.5946,0.2343379326243761,0.4574825,0.7322025000000001,10
mimic,countergan,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0017,0.0015670212364724,0.0008,0.0026,10
mimic,countergan,multi_draw_mean_objective,tpr_at_fpr_0.01,0.0087999999999999,0.0044422216663887,0.0063,0.0115,10
mimic,countergan,multi_draw_mean_objective,tpr_at_fpr_0.05,0.0489,0.0067733136482653,0.0447999999999999,0.0528,10
mimic,countergan,multi_draw_reconstruction,evaluation_auc,0.4938463999999999,0.0122885864723689,0.4864454549999999,0.500928035,10
mimic,countergan,multi_draw_reconstruction,evaluation_accuracy,0.4962999999999999,0.010824868487782,0.4896,0.5022,10
mimic,countergan,multi_draw_reconstruction,evaluation_balanced_accuracy,0.4962999999999999,0.010824868487782,0.48965,0.5021999999999999,10
mimic,countergan,multi_draw_reconstruction,evaluation_membership_advantage,-0.0073999999999999,0.0216497369755641,-0.0210999999999999,0.0045,10
mimic,countergan,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.6038,0.2459511243226092,0.4601974999999999,0.7433049999999999,10
mimic,countergan,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.6112,0.2467471940626231,0.4648925,0.7501099999999998,10
mimic,countergan,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0017,0.0014944341180973,0.0008,0.0026,10
mimic,countergan,multi_draw_reconstruction,tpr_at_fpr_0.01,0.0099,0.0041217579852399,0.0075,0.0123,10
mimic,countergan,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0477,0.0085771012974469,0.0426,0.0526,10
mimic,countergan,released_discriminator_score,evaluation_auc,0.50456635,0.0096716326584788,0.49872316625,0.51017707125,10
mimic,countergan,released_discriminator_score,evaluation_accuracy,0.5039500000000001,0.0091937478755945,0.49855,0.5095,10
mimic,countergan,released_discriminator_score,evaluation_balanced_accuracy,0.5039500000000001,0.0091937478755945,0.49855,0.5095000000000001,10
mimic,countergan,released_discriminator_score,evaluation_membership_advantage,0.0079,0.0183874957511891,-0.0029,0.0189,10
mimic,countergan,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.5791999999999999,0.1840530116871525,0.4650975,0.6858099999999999,10
mimic,countergan,released_discriminator_score,evaluation_fpr_at_calibrated_threshold,0.5713,0.1888468221131142,0.45808,0.6786125,10
mimic,countergan,released_discriminator_score,tpr_at_fpr_0.001,0.0024,0.0015776212754932,0.0015975,0.0034,10
mimic,countergan,released_discriminator_score,tpr_at_fpr_0.01,0.0104,0.0050596442562694,0.0075,0.0134,10
mimic,countergan,released_discriminator_score,tpr_at_fpr_0.05,0.0506,0.0090086378301913,0.0452,0.0558,10
mimic,countergan,single_draw_loss_threshold,evaluation_auc,0.49578775,0.0110048402236116,0.48921371375,0.50201442875,10
mimic,countergan,single_draw_loss_threshold,evaluation_accuracy,0.49615,0.0060371534867205,0.4926487499999999,0.49955,10
mimic,countergan,single_draw_loss_threshold,evaluation_balanced_accuracy,0.49615,0.0060371534867205,0.4925499999999999,0.49960125,10
mimic,countergan,single_draw_loss_threshold,evaluation_membership_advantage,-0.0077,0.0120743069734411,-0.015,-0.0005,10
mimic,countergan,single_draw_loss_threshold,evaluation_tpr_at_calibrated_threshold,0.6137,0.2518668298923064,0.467095,0.7556174999999998,10
mimic,countergan,single_draw_loss_threshold,evaluation_fpr_at_calibrated_threshold,0.6214000000000001,0.2538014096800007,0.4674899999999999,0.7670124999999999,10
mimic,countergan,single_draw_loss_threshold,tpr_at_fpr_0.001,0.0021999999999999,0.0019321835661585,0.0011,0.0034,10
mimic,countergan,single_draw_loss_threshold,tpr_at_fpr_0.01,0.0093999999999999,0.0049710271686152,0.0066975,0.0124,10
mimic,countergan,single_draw_loss_threshold,tpr_at_fpr_0.05,0.0452999999999999,0.0092261705068908,0.0395999999999999,0.0506,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.50235855,0.007969183805447,0.4978328262500001,0.5072696437499999,10
