dataset,variant,metric,mean,sd,ci95_low,ci95_high,attack_seeds
mimic,countergan,exact_match_rate,0.0,0.0,0.0,0.0,10
mimic,countergan,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
mimic,countergan,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
mimic,countergan,dcr_mean,0.1492060715664194,0.0008614790745144,0.1486918816833135,0.1497107839678518,10
mimic,countergan,dcr_median,0.1473166872314291,0.0010751065567314,0.1466842595859638,0.147946147099048,10
mimic,countergan,dcr_p01,0.0942671834911228,0.0015671367464133,0.0932685495829806,0.0951287610671033,10
mimic,countergan,dcr_p05,0.1084810825834202,0.0010833967456189,0.1078811249992575,0.1091317481835607,10
mimic,countergan,nndr_mean,0.9473080642087393,0.0019347755006963,0.946177348993214,0.9484256240047868,10
mimic,countergan,nndr_median,0.9621941462646408,0.0022275266783578,0.960841429117619,0.9634192558651344,10
mimic,countergan,train_to_holdout_dcr_ratio_median,0.8877464226268913,0.0035764695708116,0.8857407893660602,0.8898417947826388,10
mimic,dp_eps16,exact_match_rate,0.0,0.0,0.0,0.0,10
mimic,dp_eps16,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
mimic,dp_eps16,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
mimic,dp_eps16,dcr_mean,0.1370481083656778,0.0006255609538819,0.1366883966522005,0.1374169801109002,10
mimic,dp_eps16,dcr_median,0.1343284977846875,0.0010086395080543,0.1337402258553939,0.1349289973474621,10
mimic,dp_eps16,dcr_p01,0.0909389216873608,0.0018281587583542,0.0898862785274421,0.0920397342388693,10
mimic,dp_eps16,dcr_p05,0.1024606283112575,0.0008717092364841,0.1019003379686298,0.1029289421463691,10
mimic,dp_eps16,nndr_mean,0.9455427594938252,0.0012388178592022,0.9448083684739932,0.9462456095954216,10
mimic,dp_eps16,nndr_median,0.9604878135723374,0.0013718176155601,0.9597337400510086,0.96132529746318,10
mimic,dp_eps16,train_to_holdout_dcr_ratio_median,0.8765461664080971,0.002013104117584,0.8752629483477355,0.8775726389556402,10
mimic,dp_eps2,exact_match_rate,0.0,0.0,0.0,0.0,10
mimic,dp_eps2,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
mimic,dp_eps2,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
mimic,dp_eps2,dcr_mean,0.1511360213755297,0.0006987637541969,0.1507271590177073,0.1515516487814159,10
mimic,dp_eps2,dcr_median,0.1475174742928982,0.0006803406446955,0.1471369412525111,0.1479311943640076,10
mimic,dp_eps2,dcr_p01,0.105952796798806,0.0020407029804648,0.1047579034955807,0.1071409184261601,10
mimic,dp_eps2,dcr_p05,0.1160959892837525,0.0011468457388053,0.1154821374678584,0.1168053266520849,10
mimic,dp_eps2,nndr_mean,0.9523528063024592,0.0008966160528405,0.9518091681300206,0.9528792252091992,10
mimic,dp_eps2,nndr_median,0.9658236388682028,0.0009986896308307,0.9652259914293538,0.9664062405709078,10
mimic,dp_eps2,train_to_holdout_dcr_ratio_median,0.8920541222897503,0.002484034418234,0.8905301948005717,0.8933510823407315,10
mimic,dp_eps4,exact_match_rate,0.0,0.0,0.0,0.0,10
mimic,dp_eps4,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
mimic,dp_eps4,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
mimic,dp_eps4,dcr_mean,0.1553770481061592,0.0005963305705425,0.1550227607022997,0.1557153300385064,10
mimic,dp_eps4,dcr_median,0.15220293233481,0.0011126415420444,0.1515900273016015,0.1529065117252334,10
mimic,dp_eps4,dcr_p01,0.1105179452770556,0.0016379558898419,0.1095033796063415,0.1114230472492028,10
mimic,dp_eps4,dcr_p05,0.1208159896798899,0.001092639367568,0.1202012332421919,0.1214774999331581,10
mimic,dp_eps4,nndr_mean,0.9537651983509404,0.001039094642121,0.953179772318318,0.954382236983406,10
mimic,dp_eps4,nndr_median,0.966277777696774,0.0009388216112571,0.9657030233216966,0.966811399220026,10
mimic,dp_eps4,train_to_holdout_dcr_ratio_median,0.8962922242560183,0.0020647969771599,0.895076027447312,0.8974490075197327,10
mimic,dp_eps8,exact_match_rate,0.0,0.0,0.0,0.0,10
mimic,dp_eps8,near_duplicate_rate_0_001,0.0,0.0,0.0,0.0,10
mimic,dp_eps8,near_duplicate_rate_0_01,0.0,0.0,0.0,0.0,10
mimic,dp_eps8,dcr_mean,0.1438541525710785,0.0006858493840499,0.1434429554618647,0.1442525562863944,10
mimic,dp_eps8,dcr_median,0.1412254935755101,0.0008973604711534,0.1407124617680083,0.1417487754285804,10
mimic,dp_eps8,dcr_p01,0.0986363733461016,0.0021576068710764,0.0973132259208096,0.0998172985712012,10
mimic,dp_eps8,dcr_p05,0.109290290479747,0.0010509135615774,0.1086584385130904,0.1098795637927128,10
mimic,dp_eps8,nndr_mean,0.9498040458785498,0.0013470618407841,0.9490492547930474,0.9506348167462468,10
mimic,dp_eps8,nndr_median,0.9637436495319118,0.0018317959548796,0.9626933575885976,0.9648298811505888,10
mimic,dp_eps8,train_to_holdout_dcr_ratio_median,0.8839361623180177,0.0023942004245516,0.8825200591580717,0.8852799501080346,10
