dataset,variant,attribute_kind,attack_metric,metric,mean,sd,ci95_low,ci95_high,attack_seeds
mimic,countergan,continuous,normalized_mae,attack_value,0.0439029246213612,0.006321414636126,0.0402778584154369,0.0476990482554975,10
mimic,countergan,continuous,normalized_mae,trivial_baseline_value,0.1092721199573944,0.0153749662039055,0.1005517051465898,0.1186961930553691,10
mimic,dp_eps16,continuous,normalized_mae,attack_value,0.0587997781966736,0.0074958497570115,0.0544596431610987,0.0633076383056196,10
mimic,dp_eps16,continuous,normalized_mae,trivial_baseline_value,0.1092721199573944,0.0153749662039055,0.1004890422474887,0.1185335751893109,10
mimic,dp_eps2,continuous,normalized_mae,attack_value,0.0484219136819189,0.0066598783914629,0.0446135766089786,0.052518235617039,10
mimic,dp_eps2,continuous,normalized_mae,trivial_baseline_value,0.1092721199573944,0.0153749662039055,0.1006556635472871,0.118438145063862,10
mimic,dp_eps4,continuous,normalized_mae,attack_value,0.0563968311218984,0.0077665319449194,0.052061686802709,0.0609771166184114,10
mimic,dp_eps4,continuous,normalized_mae,trivial_baseline_value,0.1092721199573944,0.0153749662039055,0.1004170211521596,0.1188462525474298,10
mimic,dp_eps8,continuous,normalized_mae,attack_value,0.057563146012198,0.0074574037072462,0.053424489320212,0.0619771896128374,10
mimic,dp_eps8,continuous,normalized_mae,trivial_baseline_value,0.1092721199573944,0.0153749662039055,0.1003383859827309,0.1186322379721467,10
