method,method_label,candidate_budget,robust_full_k_success,fidelity,changed_set_dice,constraint_validity,plausibility,local_surrogate_fidelity,coverage_at_1,plausibility_distance,proximity,full_k_success,target_data_support,diversity,mean_target_logit_margin,plausibility_inlier_rate,group_sparsity,sparsity,robust_completeness_at_k,valid_cfe_yield_at_k
countergan_one_shot,CounterGAN one-shot,64,0.845,0.9394136743780814,0.9824605340323191,1.0,0.8029828451320393,0.9394136743780814,0.98,0.8029828451320393,0.136119798479863,0.885,0.669962065425983,0.033953207172569784,8.03463908940892,0.6455586795792981,0.005378821970316818,0.12259667300222185,0.944,0.9525
countergan_one_shot,CounterGAN one-shot,128,0.875,0.9378716320494012,0.9810951577405435,1.0,0.8018079248584005,0.9378716320494012,0.99,0.8018079248584005,0.13489362138389338,0.9299999999999999,0.6620089786756453,0.03380194970528887,7.912951541067374,0.6546897546897548,0.0053075396825396845,0.13612136773901484,0.9495,0.9664999999999999
countergan_one_shot,CounterGAN one-shot,256,0.8999999999999999,0.9394697741642124,0.979885019422277,1.0,0.7997734691714776,0.9394697741642124,0.99,0.7997734691714776,0.13363185942624556,0.9550000000000001,0.6572474747474748,0.033643242799573474,7.7905607712690275,0.6557559724226392,0.008141601197156756,0.1494795056069566,0.9620000000000001,0.9745
countergan_one_shot,CounterGAN one-shot,512,0.935,0.9375090377105604,0.9787247237601238,1.0,0.7998328813021649,0.9375090377105604,0.99,0.7998328813021649,0.13269342109560966,0.97,0.6571572871572872,0.03354603317425106,7.655274275426912,0.6551948051948051,0.009680134680134683,0.16000162691339165,0.9645,0.9775
proposed_countergan,CounterGAN + iterative black-box search,64,0.845,0.9394136743780814,0.9824605340323191,1.0,0.8029828451320393,0.9394136743780814,0.98,0.8029828451320393,0.136119798479863,0.885,0.669962065425983,0.033953207172569784,8.03463908940892,0.6455586795792981,0.005378821970316818,0.12259667300222185,0.944,0.9525
proposed_countergan,CounterGAN + iterative black-box search,128,0.925,0.9390410413921386,0.9824649725617236,1.0,0.8068445969109117,0.9390410413921386,0.995,0.8068445969109117,0.13630659012519047,0.975,0.6604565656565657,0.037186387629069464,7.918067341603414,0.6316982323232323,0.004265151515151517,0.1241622633902046,0.973,0.9884999999999999
proposed_countergan,CounterGAN + iterative black-box search,256,0.925,0.9417217630853996,0.9824291043015262,1.0,0.806393517928366,0.9417217630853996,0.995,0.806393517928366,0.13636554984921456,0.995,0.663269696969697,0.03707874381961771,7.97370414856859,0.645959595959596,0.004933501683501686,0.12360294117647062,0.981,0.995
proposed_countergan,CounterGAN + iterative black-box search,512,0.915,0.9395745332108969,0.9827195741766761,1.0,0.8077957944690652,0.9395745332108969,0.995,0.8077957944690652,0.1366547860931417,0.995,0.6666939393939395,0.037641146719418095,8.067653465240893,0.6399444444444444,0.004516835016835019,0.12376054664289961,0.9765000000000001,0.995
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,0.6699999999999999,0.9274311190888731,0.9851186002047312,1.0,0.7452219051325377,0.9274311190888731,0.94,0.7452219051325377,0.12366454766695636,0.89,0.7032385654295767,0.06881097006446528,5.51455711057631,0.7763647713085915,0.16005005580146028,0.28230612469706984,0.8760000000000001,0.9205
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.685,0.9250150402747805,0.9810897459347258,1.0,0.7785611016442437,0.9250150402747805,0.99,0.7785611016442437,0.12328724862273896,0.9450000000000001,0.6831060606060606,0.08156520180930996,6.094027887089084,0.6937770562770563,0.2154491341991342,0.33239538239538235,0.9199999999999999,0.964
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,0.675,0.9164959619505074,0.9712505184339371,1.0,0.8037387544270598,0.9164959619505074,0.995,0.8037387544270598,0.114200902095422,0.99,0.6666727272727273,0.08799952120999946,5.951755195621288,0.6119040404040403,0.33419612794612796,0.4364643493761141,0.9295,0.9904999999999999
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,0.48,0.9126430976430977,0.9429502911956913,1.0,0.8292294401062588,0.9126430976430977,0.995,0.8292294401062588,0.09711118039722094,0.995,0.6237939393939393,0.08755520251231513,5.766567375586189,0.5847373737373738,0.48064898989898985,0.5687320261437909,0.8999999999999999,0.995
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,0.635,0.9245564561430506,0.9843559332024397,1.0,0.819722974259212,0.9245564561430506,0.9450000000000001,0.819722974259212,0.14384362131965403,0.8999999999999999,0.7801939896837856,0.05789310623434032,6.73807840739352,0.555559916274202,0.14959985215087257,0.2663380553686676,0.866,0.919
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,0.6799999999999999,0.9298649262130503,0.9798166923224307,1.0,0.8436224290331831,0.9298649262130503,0.98,0.8436224290331831,0.14165592172577718,0.95,0.7729552520789633,0.07218699987175116,7.196994793361691,0.5165859627199834,0.20797645700996215,0.3198493096082544,0.916,0.967
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,0.645,0.9156106519742884,0.9712249438993233,1.0,0.8654199070333415,0.9156106519742884,0.995,0.8654199070333415,0.13246410640013037,0.99,0.7602444444444445,0.0810022937894018,7.436866213908099,0.48294949494949496,0.3084520202020202,0.4068010992275698,0.935,0.9945
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,0.5,0.9231787572696664,0.9486631942161061,1.0,0.8942339746487806,0.9231787572696664,0.995,0.8942339746487806,0.1182633905661189,0.995,0.7320272727272727,0.09221363943070174,8.528724474067038,0.4381161616161616,0.42267760942760946,0.5174604872251931,0.9095,0.995
