profile,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,direction,query_number,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
balanced,0.06,0.03,0.5,0.15,0.45,4.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08384036179631948,0.5970588235294118,0.07874473789706826,0.8050909271372477,0.8050909271372477,0.5,0.715,0.9015151515151515,0.9015151515151515,81.0,1.0,2.9333561658859253,0.5241250097751617,0.9958333333333333,0.975,0.975,0.75,0.9255547750419535,3.5859949825000967,3.5859949825000967,3.5859949825000967,0.3585994982500097,512.0,145.99258121060743,8.0,1.0,1.0,1.0,64.0,64.0,0.38298572400026387,0.38298572400026387,1.0,1.0,1.0,64.0,64.0,0.38298572400026387,0.38298572400026387,1.0,1.0,1.0,64.0,64.0,0.38298572400026387,0.38298572400026387,1.0,1.0,1.0,64.0,64.0,0.38298572400026387,0.38298572400026387,0.53125
balanced,0.06,0.03,0.5,0.15,0.45,4.0,no_disease_to_disease,5.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10246235504746437,0.5544117647058824,0.09755897056311369,0.8968769504959444,0.8968769504959444,0.525,0.635,0.9242424242424243,0.9242424242424243,81.0,1.0,12.087457537651062,1.1118893027305603,0.9916666666666667,0.95,0.95,0.5,0.945459915846112,3.5364625007500763,3.5364625007500763,3.5364625007500763,0.3536462500750076,512.0,147.55151017296328,8.0,1.0,1.0,1.0,64.0,64.0,0.3360640542503006,0.3360640542503006,1.0,1.0,1.0,64.0,64.0,0.3360640542503006,0.3360640542503006,1.0,1.0,1.0,64.0,64.0,0.3360640542503006,0.3360640542503006,1.0,1.0,1.0,64.0,64.0,0.3360640542503006,0.3360640542503006,0.49374999999999997
diverse,0.06,0.03,0.65,0.1,0.55,7.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1675102822482586,0.27647058823529413,0.1817140281200409,1.004353356501986,1.004353356501986,0.15000000000000002,0.835,0.9393939393939394,0.9393939393939394,81.0,1.0,7.280123710632324,1.203536443412304,0.9916666666666667,0.95,0.95,0.75,0.970890126990334,3.6488139739999497,3.6488139739999497,3.6488139739999497,0.364881397399995,512.0,144.05488858986243,8.0,1.0,1.0,1.0,64.0,64.0,0.4120289430002231,0.4120289430002231,1.0,1.0,1.0,64.0,64.0,0.4120289430002231,0.4120289430002231,1.0,1.0,1.0,64.0,64.0,0.4120289430002231,0.4120289430002231,1.0,1.0,1.0,64.0,64.0,0.4120289430002231,0.4120289430002231,0.1729166666666667
diverse,0.06,0.03,0.65,0.1,0.55,7.0,no_disease_to_disease,5.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1754203625023365,0.31176470588235294,0.18173269927501678,1.0465563587507156,1.0465563587507156,0.325,0.855,0.893939393939394,0.893939393939394,81.0,1.0,40.989967346191406,1.3505904078483582,0.9833333333333333,0.975,0.975,0.75,0.9704247589726367,3.489083177249995,3.489083177249995,3.489083177249995,0.34890831772499953,512.0,149.51142748139722,8.0,1.0,1.0,1.0,64.0,64.0,0.33825843275008083,0.33825843275008083,1.0,1.0,1.0,64.0,64.0,0.33825843275008083,0.33825843275008083,1.0,1.0,1.0,64.0,64.0,0.33825843275008083,0.33825843275008083,1.0,1.0,1.0,64.0,64.0,0.33825843275008083,0.33825843275008083,0.22708333333333333
sparse,0.08,0.04,0.5,0.1,0.72,3.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06845285464078188,0.6345588235294117,0.0545376050285995,0.7706562910254904,0.7706562910254904,0.45,0.71,0.8712121212121212,0.8712121212121212,81.0,1.0,2.4531363248825073,0.43309277296066284,0.9875,0.925,0.925,0.25,0.9142226713939815,3.6438442945000133,3.6438442945000133,3.6438442945000133,0.3643844294500014,512.0,143.5152507371626,8.0,1.0,1.0,1.0,64.0,64.0,0.41343098150014157,0.41343098150014157,1.0,1.0,1.0,64.0,64.0,0.41343098150014157,0.41343098150014157,1.0,1.0,1.0,64.0,64.0,0.41343098150014157,0.41343098150014157,1.0,1.0,1.0,64.0,64.0,0.41343098150014157,0.41343098150014157,0.53125
sparse,0.08,0.04,0.5,0.1,0.72,3.0,no_disease_to_disease,5.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08293211460113525,0.6352941176470588,0.06316645443439484,0.8689524025586776,0.8689524025586776,0.6,0.5900000000000001,0.9318181818181819,0.9318181818181819,81.0,1.0,5.820589900016785,1.0746446549892426,0.9916666666666667,0.975,0.975,0.75,0.923354093004802,3.545213238749966,3.545213238749966,3.545213238749966,0.3545213238749966,512.0,146.84870149849317,8.0,1.0,1.0,1.0,64.0,64.0,0.34148507675013207,0.34148507675013207,1.0,1.0,1.0,64.0,64.0,0.34148507675013207,0.34148507675013207,1.0,1.0,1.0,64.0,64.0,0.34148507675013207,0.34148507675013207,1.0,1.0,1.0,64.0,64.0,0.34148507675013207,0.34148507675013207,0.575
sparse_diverse,0.07,0.035,0.55,0.1,0.66,6.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13723924569785595,0.4073529411764706,0.15693056769669056,0.9761923346122598,0.9761923346122598,0.22499999999999998,0.76,0.9318181818181819,0.9318181818181819,81.0,1.0,6.0416834354400635,1.0507838055491447,0.9833333333333334,0.925,0.925,0.5,0.9449170305711136,3.538861493750119,3.538861493750119,3.538861493750119,0.3538861493750119,512.0,147.653586573673,8.0,1.0,1.0,1.0,64.0,64.0,0.3696010635003404,0.3696010635003404,1.0,1.0,1.0,64.0,64.0,0.3696010635003404,0.3696010635003404,1.0,1.0,1.0,64.0,64.0,0.3696010635003404,0.3696010635003404,1.0,1.0,1.0,64.0,64.0,0.3696010635003404,0.3696010635003404,0.3104166666666667
sparse_diverse,0.07,0.035,0.55,0.1,0.66,6.0,no_disease_to_disease,5.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16663513705134392,0.3551470588235294,0.18121957033872604,1.0696716496235827,1.0696716496235827,0.325,0.8400000000000001,0.9090909090909091,0.9090909090909091,81.0,1.0,36.25725793838501,1.3615292459726334,0.9916666666666667,0.975,0.975,0.75,0.9609687970395875,3.4717898172500554,3.4717898172500554,3.4717898172500554,0.34717898172500555,512.0,149.86602940016428,8.0,1.0,1.0,1.0,64.0,64.0,0.3362252067499867,0.3362252067499867,1.0,1.0,1.0,64.0,64.0,0.3362252067499867,0.3362252067499867,1.0,1.0,1.0,64.0,64.0,0.3362252067499867,0.3362252067499867,1.0,1.0,1.0,64.0,64.0,0.3362252067499867,0.3362252067499867,0.26875
utility_balanced,0.03,0.015,0.75,0.15,0.35,2.0,disease_to_no_disease,1.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08084541000425816,0.5073529411764706,0.05944249266758561,0.7697532206534579,0.7697532206534579,0.45,0.7949999999999999,0.8712121212121212,0.8712121212121212,81.0,1.0,3.153682768344879,0.7397481873631477,0.9916666666666667,0.95,0.95,0.5,0.9418808953193324,3.5346292089998315,3.5346292089998315,3.5346292089998315,0.35346292089998316,512.0,147.8740542267384,8.0,1.0,1.0,1.0,64.0,64.0,0.3711732857500465,0.3711732857500465,1.0,1.0,1.0,64.0,64.0,0.3711732857500465,0.3711732857500465,1.0,1.0,1.0,64.0,64.0,0.3711732857500465,0.3711732857500465,1.0,1.0,1.0,64.0,64.0,0.3711732857500465,0.3711732857500465,0.4291666666666667
utility_balanced,0.03,0.015,0.75,0.15,0.35,2.0,no_disease_to_disease,5.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09186117723584175,0.5279411764705881,0.06673979572951794,0.8579252388155613,0.8579252388155613,0.525,0.64,0.8636363636363636,0.8636363636363636,81.0,1.0,4.788924127817154,1.0524960309267044,0.9875,0.925,0.925,0.5,0.9512002902508805,3.4295909504999145,3.4295909504999145,3.4295909504999145,0.34295909504999145,512.0,151.8219494278486,8.0,1.0,1.0,1.0,64.0,64.0,0.32863348549994953,0.32863348549994953,1.0,1.0,1.0,64.0,64.0,0.32863348549994953,0.32863348549994953,1.0,1.0,1.0,64.0,64.0,0.32863348549994953,0.32863348549994953,1.0,1.0,1.0,64.0,64.0,0.32863348549994953,0.32863348549994953,0.4645833333333333
