profile,query_number,direction,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
balanced,0,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09870009124279022,0.5529411764705883,0.0995665043592453,0.7936804884768922,0.7936804884768922,0.2,0.52,0.9090909090909091,0.9090909090909091,81,1.0,3.455822467803955,0.745987594127655,1.0,1.0,1.0,1.0,0.9587408860632921,3.5849421370003256,3.5849421370003256,3.5849421370003256,0.35849421370003254,512,142.81959943387324,8,1.0,1.0,1.0,64.0,64.0,0.33824729500065587,0.33824729500065587,1.0,1.0,1.0,64.0,64.0,0.33824729500065587,0.33824729500065587,1.0,1.0,1.0,64.0,64.0,0.33824729500065587,0.33824729500065587,1.0,1.0,1.0,64.0,64.0,0.33824729500065587,0.33824729500065587,0.5
balanced,1,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.04483434185385704,0.7911764705882353,0.023107750341296196,0.8113674231284083,0.8113674231284083,1.0,0.5999999999999999,0.8787878787878788,0.8787878787878788,81,1.0,1.5908931493759155,0.6659083366394043,1.0,1.0,1.0,1.0,0.8666310529855421,2.7722638109999025,2.7722638109999025,2.7722638109999025,0.27722638109999026,512,184.6866080956889,8,1.0,1.0,1.0,64.0,64.0,0.3421791470000244,0.3421791470000244,1.0,1.0,1.0,64.0,64.0,0.3421791470000244,0.3421791470000244,1.0,1.0,1.0,64.0,64.0,0.3421791470000244,0.3421791470000244,1.0,1.0,1.0,64.0,64.0,0.3421791470000244,0.3421791470000244,0.75
balanced,2,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06574647128582001,0.6529411764705882,0.05660122260451317,0.7420107491060701,0.7420107491060701,0.7,0.8,0.8787878787878788,0.8787878787878788,81,1.0,1.6114917993545532,0.338255375623703,0.9833333333333334,0.9,0.9,0.0,0.8964441961488518,3.943400348999603,3.943400348999603,3.943400348999603,0.3943400348999603,512,129.8371848371644,8,1.0,1.0,1.0,64.0,64.0,0.34174659000018437,0.34174659000018437,1.0,1.0,1.0,64.0,64.0,0.34174659000018437,0.34174659000018437,1.0,1.0,1.0,64.0,64.0,0.34174659000018437,0.34174659000018437,1.0,1.0,1.0,64.0,64.0,0.34174659000018437,0.34174659000018437,0.6166666666666666
balanced,3,disease_to_no_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.12608054280281067,0.3911764705882353,0.13570347428321838,0.8733050478376203,0.8733050478376203,0.1,0.9400000000000001,0.9393939393939394,0.9393939393939394,81,1.0,5.075217247009277,0.34634873270988464,1.0,1.0,1.0,1.0,0.9804029649701281,4.043373633000556,4.043373633000556,4.043373633000556,0.4043373633000556,512,126.62693247570317,8,1.0,1.0,1.0,64.0,64.0,0.5097698640001909,0.5097698640001909,1.0,1.0,1.0,64.0,64.0,0.5097698640001909,0.5097698640001909,1.0,1.0,1.0,64.0,64.0,0.5097698640001909,0.5097698640001909,1.0,1.0,1.0,64.0,64.0,0.5097698640001909,0.5097698640001909,0.25833333333333336
balanced,4,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11388840526342392,0.5470588235294117,0.1108274906873703,0.9223189024865055,0.9223189024865055,0.6,0.8400000000000001,0.8787878787878788,0.8787878787878788,81,1.0,14.861902236938477,2.134769916534424,1.0,1.0,1.0,1.0,0.9564046113661455,3.805972804000703,3.805972804000703,3.805972804000703,0.3805972804000703,512,134.52539636168808,8,1.0,1.0,1.0,64.0,64.0,0.34209786000064923,0.34209786000064923,1.0,1.0,1.0,64.0,64.0,0.34209786000064923,0.34209786000064923,1.0,1.0,1.0,64.0,64.0,0.34209786000064923,0.34209786000064923,1.0,1.0,1.0,64.0,64.0,0.34209786000064923,0.34209786000064923,0.4999999999999999
balanced,5,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.14326436817646027,0.4,0.14962957799434662,0.9681294497476998,0.9681294497476998,0.0,0.42000000000000004,0.9393939393939394,0.9393939393939394,81,1.0,20.03582191467285,0.3132755160331726,0.9833333333333334,0.9,0.9,0.0,0.9689709143844807,3.685972203000347,3.685972203000347,3.685972203000347,0.36859722030003467,512,138.90500844885287,8,1.0,1.0,1.0,64.0,64.0,0.3345265020006991,0.3345265020006991,1.0,1.0,1.0,64.0,64.0,0.3345265020006991,0.3345265020006991,1.0,1.0,1.0,64.0,64.0,0.3345265020006991,0.3345265020006991,1.0,1.0,1.0,64.0,64.0,0.3345265020006991,0.3345265020006991,0.33333333333333326
balanced,6,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11445087194442749,0.4911764705882353,0.07664848864078522,0.8774872331457726,0.8774872331457726,0.9,0.8400000000000001,1.0,1.0,81,1.0,10.428495407104492,1.795867919921875,1.0,1.0,1.0,1.0,0.9765580320945556,3.8873094979999223,3.8873094979999223,3.8873094979999223,0.38873094979999223,512,131.71063437666373,8,1.0,1.0,1.0,64.0,64.0,0.33679470800052513,0.33679470800052513,1.0,1.0,1.0,64.0,64.0,0.33679470800052513,0.33679470800052513,1.0,1.0,1.0,64.0,64.0,0.33679470800052513,0.33679470800052513,1.0,1.0,1.0,64.0,64.0,0.33679470800052513,0.33679470800052513,0.39999999999999997
balanced,7,no_disease_to_disease,0.06,0.03,0.5,0.15,0.45,4.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.03824577480554581,0.7794117647058824,0.05313032492995262,0.8195722166038,0.8195722166038,0.6,0.44000000000000006,0.8787878787878788,0.8787878787878788,81,1.0,3.0236105918884277,0.20364385843276978,0.9833333333333334,0.9,0.9,0.0,0.8799061055392661,2.766595497999333,2.766595497999333,2.766595497999333,0.2766595497999333,512,185.0650015046484,8,1.0,1.0,1.0,64.0,64.0,0.330837146999329,0.330837146999329,1.0,1.0,1.0,64.0,64.0,0.330837146999329,0.330837146999329,1.0,1.0,1.0,64.0,64.0,0.330837146999329,0.330837146999329,1.0,1.0,1.0,64.0,64.0,0.330837146999329,0.330837146999329,0.7416666666666668
sparse,0,disease_to_no_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08935977518558502,0.5794117647058823,0.06748292595148087,0.8051636845981592,0.8051636845981592,0.0,0.6,0.8787878787878788,0.8787878787878788,81,1.0,5.293156147003174,0.745987594127655,1.0,1.0,1.0,1.0,0.9646541865603961,3.6741648219995113,3.6741648219995113,3.6741648219995113,0.36741648219995116,512,139.35139679481372,8,1.0,1.0,1.0,64.0,64.0,0.34000859400021,0.34000859400021,1.0,1.0,1.0,64.0,64.0,0.34000859400021,0.34000859400021,1.0,1.0,1.0,64.0,64.0,0.34000859400021,0.34000859400021,1.0,1.0,1.0,64.0,64.0,0.34000859400021,0.34000859400021,0.4916666666666666
sparse,1,disease_to_no_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.03994329273700714,0.8117647058823529,0.02700621820986271,0.7946187370150224,0.7946187370150224,1.0,0.6,0.9090909090909091,0.9090909090909091,81,1.0,1.4066236019134521,0.3572739064693451,0.9833333333333334,0.9,0.9,0.0,0.8380951861176319,2.8287595370002236,2.8287595370002236,2.8287595370002236,0.2828759537000224,512,180.9980640994864,8,1.0,1.0,1.0,64.0,64.0,0.3450582969999232,0.3450582969999232,1.0,1.0,1.0,64.0,64.0,0.3450582969999232,0.3450582969999232,1.0,1.0,1.0,64.0,64.0,0.3450582969999232,0.3450582969999232,1.0,1.0,1.0,64.0,64.0,0.3450582969999232,0.3450582969999232,0.7666666666666667
