method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
countergan_one_shot,disease_to_no_disease,64,0.97,1.0,0.08489927203986554,64.0,1
countergan_one_shot,disease_to_no_disease,128,0.99,1.0,0.08654100182999173,128.0,1
countergan_one_shot,disease_to_no_disease,256,0.99,1.0,0.09171738481002649,256.0,1
countergan_one_shot,disease_to_no_disease,512,0.99,1.0,0.0962926117299412,512.0,1
countergan_one_shot,no_disease_to_disease,64,0.99,1.0,0.08615738544986015,64.0,1
countergan_one_shot,no_disease_to_disease,128,0.99,1.0,0.08444960557013474,128.0,1
countergan_one_shot,no_disease_to_disease,256,0.99,1.0,0.08619061907000286,256.0,1
countergan_one_shot,no_disease_to_disease,512,0.99,1.0,0.09347531898973102,512.0,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.97,1.0,0.35728605127992524,64.0,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,1.0,1.01,0.3638612925499456,64.64,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.01,0.36537870728013333,64.64,1
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.02,0.36982430097998986,65.28,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,0.99,1.0,0.3657839228299963,64.0,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.99,1.01,0.37481563665996875,64.64,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.99,1.03,0.37371119682988135,65.92,1
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.99,1.07,0.3854552792699542,68.48,1
dice_gradient_style,disease_to_no_disease,64,0.16,1.0,0.09159756182996716,64.0,1
dice_gradient_style,disease_to_no_disease,128,0.37,1.0,0.10000360117001947,128.0,1
dice_gradient_style,disease_to_no_disease,256,0.56,1.0,0.11712836714000333,256.0,1
dice_gradient_style,disease_to_no_disease,512,0.79,1.0,0.14829699071001415,512.0,1
dice_gradient_style,no_disease_to_disease,64,0.09,1.0,0.09261281561001851,64.0,1
dice_gradient_style,no_disease_to_disease,128,0.22,1.0,0.10019602069999564,128.0,1
dice_gradient_style,no_disease_to_disease,256,0.6,1.0,0.11652447693000795,256.0,1
dice_gradient_style,no_disease_to_disease,512,0.87,1.0,0.1485594198000126,512.0,1
genetic_cfe,disease_to_no_disease,64,0.46,1.0,0.08500193171003957,64.0,1
genetic_cfe,disease_to_no_disease,128,0.55,1.6,0.13602628439999534,102.4,1
genetic_cfe,disease_to_no_disease,256,0.71,2.31,0.19854128587004197,147.84,1
genetic_cfe,disease_to_no_disease,512,0.98,3.11,0.2649070442100219,199.04,1
genetic_cfe,no_disease_to_disease,64,0.84,1.0,0.08586900203995355,64.0,1
genetic_cfe,no_disease_to_disease,128,0.95,1.14,0.09797857600003226,72.96,1
genetic_cfe,no_disease_to_disease,256,0.99,1.24,0.10675584722004715,79.36,1
genetic_cfe,no_disease_to_disease,512,0.99,1.29,0.11164582621001501,82.56,1
proposed_countergan,disease_to_no_disease,64,0.97,1.0,0.08528883569997561,64.0,1
proposed_countergan,disease_to_no_disease,128,1.0,1.02,0.08605395368005703,65.28,1
proposed_countergan,disease_to_no_disease,256,1.0,1.02,0.08632631705997483,65.28,1
proposed_countergan,disease_to_no_disease,512,1.0,1.02,0.08713818065005398,65.28,1
proposed_countergan,no_disease_to_disease,64,0.99,1.0,0.08368261978013834,64.0,1
proposed_countergan,no_disease_to_disease,128,0.99,1.01,0.08267225845000212,64.64,1
proposed_countergan,no_disease_to_disease,256,0.99,1.03,0.08467176959000426,65.92,1
proposed_countergan,no_disease_to_disease,512,0.99,1.07,0.08787523105007494,68.48,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,0.89,1.0,0.37052128096005615,64.0,1
