method,direction,released_cfes,release_available,one_anonymity_rate,one_diversity_rate,one_map_linkage_rate,small_map_1_to_4_rate,no_auxiliary_match_rate,median_auxiliary_match_count_when_matched
countergan_one_shot,disease_to_no_disease,965,True,0.00932642487046632,0.32849740932642485,0.061139896373056994,0.21658031088082902,0.0694300518134715,8.0
countergan_one_shot,no_disease_to_disease,990,True,0.021212121212121213,0.38585858585858585,0.2737373737373737,0.6070707070707071,0.1595959595959596,2.0
countergan_sparse_diverse_no_dp,disease_to_no_disease,1000,True,0.04,0.183,0.095,0.277,0.09,7.0
countergan_sparse_diverse_no_dp,no_disease_to_disease,990,True,0.04242424242424243,0.29393939393939394,0.2595959595959596,0.5292929292929293,0.21717171717171718,2.0
dice_gradient_style,disease_to_no_disease,79,True,0.620253164556962,0.7341772151898734,0.05063291139240506,0.26582278481012656,0.10126582278481013,6.0
dice_gradient_style,no_disease_to_disease,90,True,0.6555555555555556,0.7222222222222222,0.16666666666666666,0.5222222222222223,0.16666666666666666,4.0
genetic_cfe,disease_to_no_disease,896,True,0.046875,0.234375,0.07924107142857142,0.359375,0.09821428571428571,5.0
genetic_cfe,no_disease_to_disease,990,True,0.049494949494949494,0.2111111111111111,0.25555555555555554,0.5545454545454546,0.20909090909090908,2.0
proposed_countergan,disease_to_no_disease,1000,True,0.017,0.302,0.074,0.227,0.066,8.0
proposed_countergan,no_disease_to_disease,990,True,0.021212121212121213,0.3616161616161616,0.2818181818181818,0.6111111111111112,0.14242424242424243,2.0
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,1000,True,0.042,0.146,0.083,0.326,0.085,6.0
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,990,True,0.05353535353535353,0.20606060606060606,0.22626262626262628,0.5191919191919192,0.17373737373737375,3.0
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,1000,True,0.044,0.145,0.092,0.287,0.075,7.0
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,990,True,0.06565656565656566,0.1686868686868687,0.24545454545454545,0.5585858585858586,0.15454545454545454,3.0
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,1000,True,0.055,0.147,0.088,0.303,0.086,7.0
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,990,True,0.052525252525252523,0.16464646464646465,0.22727272727272727,0.501010101010101,0.19595959595959597,3.0
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,1000,True,0.046,0.16,0.097,0.32,0.071,7.0
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,990,True,0.05555555555555555,0.16464646464646465,0.23434343434343435,0.5121212121212121,0.18383838383838383,3.0
uniform_random,disease_to_no_disease,692,True,0.09248554913294797,0.1777456647398844,0.09104046242774566,0.3598265895953757,0.07658959537572255,5.0
uniform_random,no_disease_to_disease,990,True,0.07272727272727272,0.1505050505050505,0.2545454545454545,0.5646464646464646,0.2222222222222222,2.0
wachter_style,disease_to_no_disease,79,True,0.620253164556962,0.7341772151898734,0.05063291139240506,0.26582278481012656,0.10126582278481013,6.0
wachter_style,no_disease_to_disease,89,True,0.6741573033707865,0.7191011235955056,0.16853932584269662,0.5168539325842697,0.16853932584269662,4.0
