method,generator_training_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
countergan_one_shot,11.0,64,disease_to_no_disease,0.915,0.97,0.78,0.898,0.7,0.13782668628336228,0.12136684570735513,0.02831315846403235,0.7751220474880974,0.0849299134100238,64.0
countergan_one_shot,11.0,64,no_disease_to_disease,0.99,0.99,0.99,0.99,0.99,0.13441291067636374,0.12382650029708855,0.039593255881107216,0.8308436427759813,0.08618865872973401,64.0
countergan_one_shot,11.0,128,disease_to_no_disease,0.943,0.99,0.87,0.9109999999999999,0.78,0.1369897969292872,0.1324625809919928,0.02797645576900304,0.7756969564229461,0.08657457872998747,128.0
countergan_one_shot,11.0,128,no_disease_to_disease,0.99,0.99,0.99,0.988,0.97,0.13279744583849956,0.13978015448603687,0.039627443641574694,0.8279188932938549,0.08448503540013917,128.0
countergan_one_shot,11.0,256,disease_to_no_disease,0.9590000000000001,0.99,0.92,0.935,0.82,0.13581995018804915,0.14664172066132855,0.02768647616183517,0.7736532823623546,0.09174842167005409,256.0
countergan_one_shot,11.0,256,no_disease_to_disease,0.99,0.99,0.99,0.9890000000000001,0.98,0.13144376866444193,0.1523172905525847,0.03960000943731178,0.8258936559806006,0.08622111568991386,256.0
countergan_one_shot,11.0,512,disease_to_no_disease,0.965,0.99,0.95,0.9420000000000001,0.9,0.13530720710152327,0.156634269869564,0.027864226017787,0.7743761563876773,0.09632875171006162,512.0
countergan_one_shot,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.987,0.97,0.13007963508969606,0.16336898395721927,0.03922784033071513,0.8252896062166525,0.09351408116979655,512.0
countergan_sparse_diverse_no_dp,11.0,64,disease_to_no_disease,0.93,0.97,0.79,0.894,0.69,0.12577533768009894,0.2756765764725134,0.03499118540167194,0.7793110662477086,0.3573237725300078,64.0
countergan_sparse_diverse_no_dp,11.0,64,no_disease_to_disease,0.9890000000000001,0.99,0.98,0.986,0.95,0.12664655347665152,0.2761602957681389,0.04310977940607553,0.8367453712734336,0.365821768099886,64.0
countergan_sparse_diverse_no_dp,11.0,128,disease_to_no_disease,0.982,1.0,0.97,0.938,0.74,0.12732460044324398,0.3238504901960784,0.06357680182904005,0.8214446368013705,0.7670609844299452,128.0
countergan_sparse_diverse_no_dp,11.0,128,no_disease_to_disease,0.99,0.99,0.99,0.981,0.92,0.12536228545988448,0.32736185383244204,0.06569874602736848,0.8578315655155051,0.78806809590993,128.0
countergan_sparse_diverse_no_dp,11.0,256,disease_to_no_disease,1.0,1.0,1.0,0.9359999999999999,0.67,0.12106113031506538,0.4152941176470588,0.08292892638593913,0.853276169120683,1.6482184786800098,256.0
countergan_sparse_diverse_no_dp,11.0,256,no_disease_to_disease,0.99,0.99,0.99,0.977,0.92,0.1173305373751756,0.4213903743315508,0.07737709438861018,0.8751967234943453,1.6249810178998814,256.0
countergan_sparse_diverse_no_dp,11.0,512,disease_to_no_disease,1.0,1.0,1.0,0.897,0.49,0.10391027316451072,0.5496764705882353,0.09129377476871013,0.8819061123323582,3.4053879019800206,512.0
countergan_sparse_diverse_no_dp,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.94,0.73,0.10416110924849606,0.5340166369578134,0.0873494069985669,0.8763616727423437,3.449641883759923,512.0
proposed_countergan,11.0,64,disease_to_no_disease,0.915,0.97,0.78,0.898,0.7,0.13782668628336228,0.12136684570735513,0.02831315846403235,0.7751220474880974,0.08531972763010344,64.0
proposed_countergan,11.0,64,no_disease_to_disease,0.99,0.99,0.99,0.99,0.99,0.13441291067636374,0.12382650029708855,0.039593255881107216,0.8308436427759813,0.08371204621023935,64.0
proposed_countergan,11.0,128,disease_to_no_disease,0.987,1.0,0.96,0.958,0.87,0.13828607700765133,0.12280462184873953,0.034606418758630755,0.7832843878863445,0.10183501994006292,77.44
proposed_countergan,11.0,128,no_disease_to_disease,0.99,0.99,0.99,0.988,0.98,0.13432710324272965,0.12551990493166967,0.039766356499508174,0.830404805935479,0.08270242525994036,64.64
proposed_countergan,11.0,256,disease_to_no_disease,1.0,1.0,1.0,0.972,0.86,0.1383929841965437,0.12367647058823533,0.03479165019467473,0.7834481474206548,0.1070076988598612,81.28
proposed_countergan,11.0,256,no_disease_to_disease,0.99,0.99,0.99,0.99,0.99,0.13433811550188546,0.12352941176470592,0.039365837444560695,0.8293388884360772,0.08470095283000774,65.92
proposed_countergan,11.0,512,disease_to_no_disease,1.0,1.0,1.0,0.9640000000000001,0.85,0.13867286495864392,0.12482352941176472,0.03499694157391787,0.7832201973375424,0.1047884819999672,78.72
proposed_countergan,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.9890000000000001,0.98,0.13463670722763948,0.1226975638740345,0.040285351864918315,0.8323713916005882,0.08790465035999659,68.48
proposed_dp_eps16_sparse_diverse,11.0,64,disease_to_no_disease,0.851,0.89,0.79,0.8,0.6,0.11853149097956968,0.2806253212895645,0.04910241594810164,0.7346206183849568,0.3705585294400498,64.0
