metric,mean,std
accuracy,0.8840236686390532,0.0
precision,0.8848848848848849,0.0
recall,0.8316086547507056,0.0
f1,0.8574199806013579,0.0
roc_auc,0.9495991656100456,0.0
f2,0.841744429632451,0.0
pr_auc,0.9413841864405045,0.0
specificity,0.921875,0.0
negative_predictive_value,0.8834635416666666,0.0
false_positive_rate,0.078125,0.0
false_negative_rate,0.16839134524929444,0.0
gmean_sensitivity_specificity,0.8755793673895627,0.0
balanced_accuracy,0.8767418273753528,0.0
mcc,0.7608797411943737,0.0
prevalence,0.4193293885601578,0.0
predicted_positive_rate,0.3940828402366864,0.0
